"","Year","Statistic","Age.of.Farm.Holder","value"
"1","1991","Number of Family Farms (Thousand)","All Ages",NA
"2","1992","Number of Family Farms (Thousand)","All Ages",NA
"3","1993","Number of Family Farms (Thousand)","All Ages",NA
"4","1994","Number of Family Farms (Thousand)","All Ages",NA
"5","1995","Number of Family Farms (Thousand)","All Ages",NA
"6","1996","Number of Family Farms (Thousand)","All Ages",NA
"7","1997","Number of Family Farms (Thousand)","All Ages",NA
"8","1998","Number of Family Farms (Thousand)","All Ages",NA
"9","1999","Number of Family Farms (Thousand)","All Ages",NA
"10","2000","Number of Family Farms (Thousand)","All Ages",NA
"11","2001","Number of Family Farms (Thousand)","All Ages",NA
"12","2002","Number of Family Farms (Thousand)","All Ages",NA
"13","1991","Number of Farm Workers on Family Farms (Thousand)","All Ages",312.7
"14","1992","Number of Farm Workers on Family Farms (Thousand)","All Ages",324.3
"15","1993","Number of Farm Workers on Family Farms (Thousand)","All Ages",320.3
"16","1994","Number of Farm Workers on Family Farms (Thousand)","All Ages",310.2
"17","1995","Number of Farm Workers on Family Farms (Thousand)","All Ages",293.3
"18","1996","Number of Farm Workers on Family Farms (Thousand)","All Ages",301
"19","1997","Number of Farm Workers on Family Farms (Thousand)","All Ages",281.9
"20","1998","Number of Farm Workers on Family Farms (Thousand)","All Ages",275.1
"21","1999","Number of Farm Workers on Family Farms (Thousand)","All Ages",270
"22","2000","Number of Farm Workers on Family Farms (Thousand)","All Ages",257.9
"23","2001","Number of Farm Workers on Family Farms (Thousand)","All Ages",252.6
"24","2002","Number of Farm Workers on Family Farms (Thousand)","All Ages",240.1
"25","1991","Number of Family Farms (Thousand)","Under 35 Years",22.4
"26","1992","Number of Family Farms (Thousand)","Under 35 Years",20.2
"27","1993","Number of Family Farms (Thousand)","Under 35 Years",23.6
"28","1994","Number of Family Farms (Thousand)","Under 35 Years",21.6
"29","1995","Number of Family Farms (Thousand)","Under 35 Years",20.9
"30","1996","Number of Family Farms (Thousand)","Under 35 Years",18
"31","1997","Number of Family Farms (Thousand)","Under 35 Years",17.7
"32","1998","Number of Family Farms (Thousand)","Under 35 Years",17.1
"33","1999","Number of Family Farms (Thousand)","Under 35 Years",15.8
"34","2000","Number of Family Farms (Thousand)","Under 35 Years",18.4
"35","2001","Number of Family Farms (Thousand)","Under 35 Years",17.4
"36","2002","Number of Family Farms (Thousand)","Under 35 Years",17.8
"37","1991","Number of Farm Workers on Family Farms (Thousand)","Under 35 Years",80.1
"38","1992","Number of Farm Workers on Family Farms (Thousand)","Under 35 Years",95.8
"39","1993","Number of Farm Workers on Family Farms (Thousand)","Under 35 Years",100.7
"40","1994","Number of Farm Workers on Family Farms (Thousand)","Under 35 Years",98.5
"41","1995","Number of Farm Workers on Family Farms (Thousand)","Under 35 Years",88.3
"42","1996","Number of Farm Workers on Family Farms (Thousand)","Under 35 Years",85.4
"43","1997","Number of Farm Workers on Family Farms (Thousand)","Under 35 Years",83.2
"44","1998","Number of Farm Workers on Family Farms (Thousand)","Under 35 Years",79
"45","1999","Number of Farm Workers on Family Farms (Thousand)","Under 35 Years",75.3
"46","2000","Number of Farm Workers on Family Farms (Thousand)","Under 35 Years",74.2
"47","2001","Number of Farm Workers on Family Farms (Thousand)","Under 35 Years",71.1
"48","2002","Number of Farm Workers on Family Farms (Thousand)","Under 35 Years",66.5
"49","1991","Number of Family Farms (Thousand)","35-44 Years",33.8
"50","1992","Number of Family Farms (Thousand)","35-44 Years",29.3
"51","1993","Number of Family Farms (Thousand)","35-44 Years",31.6
"52","1994","Number of Family Farms (Thousand)","35-44 Years",29.8
"53","1995","Number of Family Farms (Thousand)","35-44 Years",29.8
"54","1996","Number of Family Farms (Thousand)","35-44 Years",28.5
"55","1997","Number of Family Farms (Thousand)","35-44 Years",28.7
"56","1998","Number of Family Farms (Thousand)","35-44 Years",27.9
"57","1999","Number of Family Farms (Thousand)","35-44 Years",27.5
"58","2000","Number of Family Farms (Thousand)","35-44 Years",30.8
"59","2001","Number of Family Farms (Thousand)","35-44 Years",30.3
"60","2002","Number of Family Farms (Thousand)","35-44 Years",29.9
"61","1991","Number of Farm Workers on Family Farms (Thousand)","35-44 Years",58.2
"62","1992","Number of Farm Workers on Family Farms (Thousand)","35-44 Years",54.3
"63","1993","Number of Farm Workers on Family Farms (Thousand)","35-44 Years",55
"64","1994","Number of Farm Workers on Family Farms (Thousand)","35-44 Years",52
"65","1995","Number of Farm Workers on Family Farms (Thousand)","35-44 Years",51.3
"66","1996","Number of Farm Workers on Family Farms (Thousand)","35-44 Years",51
"67","1997","Number of Farm Workers on Family Farms (Thousand)","35-44 Years",49.6
"68","1998","Number of Farm Workers on Family Farms (Thousand)","35-44 Years",48.3
"69","1999","Number of Farm Workers on Family Farms (Thousand)","35-44 Years",47
"70","2000","Number of Farm Workers on Family Farms (Thousand)","35-44 Years",50.7
"71","2001","Number of Farm Workers on Family Farms (Thousand)","35-44 Years",49.6
"72","2002","Number of Farm Workers on Family Farms (Thousand)","35-44 Years",47
"73","1991","Number of Family Farms (Thousand)","45-54 Years",37
"74","1992","Number of Family Farms (Thousand)","45-54 Years",35.1
"75","1993","Number of Family Farms (Thousand)","45-54 Years",34.7
"76","1994","Number of Family Farms (Thousand)","45-54 Years",33.6
"77","1995","Number of Family Farms (Thousand)","45-54 Years",34.5
"78","1996","Number of Family Farms (Thousand)","45-54 Years",34.7
"79","1997","Number of Family Farms (Thousand)","45-54 Years",35.5
"80","1998","Number of Family Farms (Thousand)","45-54 Years",35
"81","1999","Number of Family Farms (Thousand)","45-54 Years",35.2
"82","2000","Number of Family Farms (Thousand)","45-54 Years",36.3
"83","2001","Number of Family Farms (Thousand)","45-54 Years",34.7
"84","2002","Number of Family Farms (Thousand)","45-54 Years",33
"85","1991","Number of Farm Workers on Family Farms (Thousand)","45-54 Years",59.3
"86","1992","Number of Farm Workers on Family Farms (Thousand)","45-54 Years",59.1
"87","1993","Number of Farm Workers on Family Farms (Thousand)","45-54 Years",58.6
"88","1994","Number of Farm Workers on Family Farms (Thousand)","45-54 Years",57.3
"89","1995","Number of Farm Workers on Family Farms (Thousand)","45-54 Years",56.3
"90","1996","Number of Farm Workers on Family Farms (Thousand)","45-54 Years",59.3
"91","1997","Number of Farm Workers on Family Farms (Thousand)","45-54 Years",57.1
"92","1998","Number of Farm Workers on Family Farms (Thousand)","45-54 Years",55.9
"93","1999","Number of Farm Workers on Family Farms (Thousand)","45-54 Years",56.7
"94","2000","Number of Farm Workers on Family Farms (Thousand)","45-54 Years",56.1
"95","2001","Number of Farm Workers on Family Farms (Thousand)","45-54 Years",54.4
"96","2002","Number of Farm Workers on Family Farms (Thousand)","45-54 Years",50.9
"97","1991","Number of Family Farms (Thousand)","55-64 Years",38
"98","1992","Number of Family Farms (Thousand)","55-64 Years",39
"99","1993","Number of Family Farms (Thousand)","55-64 Years",36.8
"100","1994","Number of Family Farms (Thousand)","55-64 Years",36
"101","1995","Number of Family Farms (Thousand)","55-64 Years",35.3
"102","1996","Number of Family Farms (Thousand)","55-64 Years",34.9
"103","1997","Number of Family Farms (Thousand)","55-64 Years",33.4
"104","1998","Number of Family Farms (Thousand)","55-64 Years",33.5
"105","1999","Number of Family Farms (Thousand)","55-64 Years",32.3
"106","2000","Number of Family Farms (Thousand)","55-64 Years",27.8
"107","2001","Number of Family Farms (Thousand)","55-64 Years",28
"108","2002","Number of Family Farms (Thousand)","55-64 Years",28.2
"109","1991","Number of Farm Workers on Family Farms (Thousand)","55-64 Years",57.7
"110","1992","Number of Farm Workers on Family Farms (Thousand)","55-64 Years",61.4
"111","1993","Number of Farm Workers on Family Farms (Thousand)","55-64 Years",57.3
"112","1994","Number of Farm Workers on Family Farms (Thousand)","55-64 Years",55.5
"113","1995","Number of Farm Workers on Family Farms (Thousand)","55-64 Years",52.1
"114","1996","Number of Farm Workers on Family Farms (Thousand)","55-64 Years",55.3
"115","1997","Number of Farm Workers on Family Farms (Thousand)","55-64 Years",48.6
"116","1998","Number of Farm Workers on Family Farms (Thousand)","55-64 Years",48.7
"117","1999","Number of Farm Workers on Family Farms (Thousand)","55-64 Years",47
"118","2000","Number of Farm Workers on Family Farms (Thousand)","55-64 Years",40.2
"119","2001","Number of Farm Workers on Family Farms (Thousand)","55-64 Years",40.5
"120","2002","Number of Farm Workers on Family Farms (Thousand)","55-64 Years",40.8
"121","1991","Number of Family Farms (Thousand)","65 Years and Over",38.7
"122","1992","Number of Family Farms (Thousand)","65 Years and Over",37.5
"123","1993","Number of Family Farms (Thousand)","65 Years and Over",32.3
"124","1994","Number of Family Farms (Thousand)","65 Years and Over",32
"125","1995","Number of Family Farms (Thousand)","65 Years and Over",32.5
"126","1996","Number of Family Farms (Thousand)","65 Years and Over",33.1
"127","1997","Number of Family Farms (Thousand)","65 Years and Over",32.3
"128","1998","Number of Family Farms (Thousand)","65 Years and Over",32.6
"129","1999","Number of Family Farms (Thousand)","65 Years and Over",33
"130","2000","Number of Family Farms (Thousand)","65 Years and Over",28
"131","2001","Number of Family Farms (Thousand)","65 Years and Over",28.9
"132","2002","Number of Family Farms (Thousand)","65 Years and Over",27.4
"133","1991","Number of Farm Workers on Family Farms (Thousand)","65 Years and Over",57.5
"134","1992","Number of Farm Workers on Family Farms (Thousand)","65 Years and Over",53.8
"135","1993","Number of Farm Workers on Family Farms (Thousand)","65 Years and Over",48.6
"136","1994","Number of Farm Workers on Family Farms (Thousand)","65 Years and Over",46.9
"137","1995","Number of Farm Workers on Family Farms (Thousand)","65 Years and Over",45.4
"138","1996","Number of Farm Workers on Family Farms (Thousand)","65 Years and Over",50
"139","1997","Number of Farm Workers on Family Farms (Thousand)","65 Years and Over",43.4
"140","1998","Number of Farm Workers on Family Farms (Thousand)","65 Years and Over",43.3
"141","1999","Number of Farm Workers on Family Farms (Thousand)","65 Years and Over",43.9
"142","2000","Number of Farm Workers on Family Farms (Thousand)","65 Years and Over",36.7
"143","2001","Number of Farm Workers on Family Farms (Thousand)","65 Years and Over",36.9
"144","2002","Number of Farm Workers on Family Farms (Thousand)","65 Years and Over",34.8
