"","Year","Statistic","Age.Group","Receiving.Benefits.or.Not","value"
"205","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Receiving Benefits",43.9
"206","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Receiving Benefits",42.5
"207","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Receiving Benefits",43.4
"208","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Receiving Benefits",41.8
"209","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Receiving Benefits",37.58
"210","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Receiving Benefits",50.57
"211","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Receiving Benefits",58.08
"212","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Receiving Benefits",65.8
"213","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Receiving Benefits",81.53
"214","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Receiving Benefits",103.17
"215","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Receiving Benefits",125.21
"216","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Receiving Benefits",142.97
"217","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Receiving Benefits",148.24
"218","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Receiving Benefits",217.96
"219","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Receiving Benefits",243.26
"220","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Receiving Benefits",296.33
"221","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Receiving Benefits",329.4
"222","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Receiving Benefits",43.9
"223","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Receiving Benefits",43.6
"224","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Receiving Benefits",43.4
"225","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Receiving Benefits",42.1
"226","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Receiving Benefits",42.4
"227","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Receiving Benefits",41.4
"228","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Receiving Benefits",42.27
"229","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Receiving Benefits",42.6
"230","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Receiving Benefits",41.7
"231","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Receiving Benefits",42.4
"232","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Receiving Benefits",42.2
"233","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Receiving Benefits",42.8
"234","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Receiving Benefits",37.8
"235","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Receiving Benefits",33.14
"236","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Receiving Benefits",44.99
"237","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Receiving Benefits",52.88
"238","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Receiving Benefits",62.08
"239","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Receiving Benefits",72.48
"240","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Receiving Benefits",95.22
"241","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Receiving Benefits",119.11
"242","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Receiving Benefits",139.49
"243","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Receiving Benefits",143.34
"244","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Receiving Benefits",190.96
"245","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Receiving Benefits",220.82
"246","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Receiving Benefits",250.56
"247","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Receiving Benefits",337.72
"248","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Receiving Benefits",43.3
"249","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Receiving Benefits",42.4
"250","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Receiving Benefits",42.6
"251","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Receiving Benefits",41.5
"252","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Receiving Benefits",41.1
"253","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Receiving Benefits",41
"254","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Receiving Benefits",42.3
"255","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Receiving Benefits",41.8
"256","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Receiving Benefits",41.1
"257","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Receiving Benefits",41.7
"258","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Receiving Benefits",40.2
"259","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Receiving Benefits",40.9
"260","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Receiving Benefits",36.2
"261","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Under 21","Not Receiving Benefits",36.06
"262","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Under 21","Not Receiving Benefits",47.63
"263","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Under 21","Not Receiving Benefits",57.81
"264","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Under 21","Not Receiving Benefits",68.06
"265","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Under 21","Not Receiving Benefits",78.38
"266","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Under 21","Not Receiving Benefits",101.45
"267","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Under 21","Not Receiving Benefits",110.96
"268","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Under 21","Not Receiving Benefits",126.73
"269","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Under 21","Not Receiving Benefits",136.07
"270","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Under 21","Not Receiving Benefits",165.97
"271","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Under 21","Not Receiving Benefits",163.31
"272","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Under 21","Not Receiving Benefits",221.48
"273","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Under 21","Not Receiving Benefits",279.25
"274","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Under 21","Not Receiving Benefits",43.5
"275","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Under 21","Not Receiving Benefits",43.1
"276","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Under 21","Not Receiving Benefits",42.3
"277","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Under 21","Not Receiving Benefits",41.6
"278","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Under 21","Not Receiving Benefits",41.9
"279","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Under 21","Not Receiving Benefits",42.2
"280","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Under 21","Not Receiving Benefits",42.11
"281","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Under 21","Not Receiving Benefits",42.2
"282","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Under 21","Not Receiving Benefits",42.4
"283","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Under 21","Not Receiving Benefits",40.8
"284","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Under 21","Not Receiving Benefits",40.1
"285","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Under 21","Not Receiving Benefits",41.8
"286","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Under 21","Not Receiving Benefits",41.7
"287","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 21 to 29","Not Receiving Benefits",42.66
"288","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 21 to 29","Not Receiving Benefits",57.56
"289","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 21 to 29","Not Receiving Benefits",67.74
"290","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 21 to 29","Not Receiving Benefits",77.48
"291","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 21 to 29","Not Receiving Benefits",94.34
"292","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 21 to 29","Not Receiving Benefits",116.41
"293","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 21 to 29","Not Receiving Benefits",138.91
"294","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 21 to 29","Not Receiving Benefits",154.46
"295","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 21 to 29","Not Receiving Benefits",168.41
"296","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 21 to 29","Not Receiving Benefits",198.5
"297","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 21 to 29","Not Receiving Benefits",220.25
"298","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 21 to 29","Not Receiving Benefits",261.32
"299","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 21 to 29","Not Receiving Benefits",338.53
"300","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 21 to 29","Not Receiving Benefits",43.9
"301","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 21 to 29","Not Receiving Benefits",43.4
"302","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 21 to 29","Not Receiving Benefits",43
"303","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 21 to 29","Not Receiving Benefits",41.9
"304","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 21 to 29","Not Receiving Benefits",42.2
"305","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 21 to 29","Not Receiving Benefits",42.1
"306","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 21 to 29","Not Receiving Benefits",42.35
"307","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 21 to 29","Not Receiving Benefits",42.3
"308","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 21 to 29","Not Receiving Benefits",42.3
"309","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 21 to 29","Not Receiving Benefits",41.6
"310","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 21 to 29","Not Receiving Benefits",41.6
"311","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 21 to 29","Not Receiving Benefits",42.2
"312","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 21 to 29","Not Receiving Benefits",43.1
"313","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 30 to 44","Not Receiving Benefits",44.44
"314","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 30 to 44","Not Receiving Benefits",59.2
"315","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 30 to 44","Not Receiving Benefits",68.55
"316","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 30 to 44","Not Receiving Benefits",81.2
"317","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 30 to 44","Not Receiving Benefits",96.34
"318","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 30 to 44","Not Receiving Benefits",119.03
"319","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 30 to 44","Not Receiving Benefits",146.58
"320","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 30 to 44","Not Receiving Benefits",165.05
"321","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 30 to 44","Not Receiving Benefits",181.86
"322","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 30 to 44","Not Receiving Benefits",221.61
"323","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 30 to 44","Not Receiving Benefits",233.97
"324","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 30 to 44","Not Receiving Benefits",264.18
"325","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 30 to 44","Not Receiving Benefits",348.89
"326","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Not Receiving Benefits",44.3
"327","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Not Receiving Benefits",43.4
"328","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Not Receiving Benefits",43.4
"329","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Not Receiving Benefits",42.4
"330","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Not Receiving Benefits",42
"331","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Not Receiving Benefits",42
"332","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Not Receiving Benefits",42.33
"333","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Not Receiving Benefits",42.6
"334","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Not Receiving Benefits",42.5
"335","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Not Receiving Benefits",42.3
"336","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Not Receiving Benefits",41.2
"337","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Not Receiving Benefits",42.2
"338","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Not Receiving Benefits",41.2
"339","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Not Receiving Benefits",42.28
"340","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Not Receiving Benefits",58.13
"341","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Not Receiving Benefits",67.31
"342","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Not Receiving Benefits",78.08
"343","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Not Receiving Benefits",94.57
"344","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Not Receiving Benefits",117.55
"345","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Not Receiving Benefits",137.84
"346","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Not Receiving Benefits",163.48
"347","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Not Receiving Benefits",181.41
"348","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Not Receiving Benefits",215.98
"349","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Not Receiving Benefits",241.94
"350","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Not Receiving Benefits",267.75
"351","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Not Receiving Benefits",320.32
"352","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Not Receiving Benefits",43.4
"353","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Not Receiving Benefits",43.3
"354","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Not Receiving Benefits",43
"355","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Not Receiving Benefits",42.4
"356","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Not Receiving Benefits",42.3
"357","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Not Receiving Benefits",42.1
"358","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Not Receiving Benefits",41.63
"359","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Not Receiving Benefits",42.2
"360","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Not Receiving Benefits",42.1
"361","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Not Receiving Benefits",41.1
"362","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Not Receiving Benefits",41.4
"363","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Not Receiving Benefits",42.3
"364","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Not Receiving Benefits",38.2
"365","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Not Receiving Benefits",41.27
"366","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Not Receiving Benefits",56.62
"367","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Not Receiving Benefits",64.06
"368","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Not Receiving Benefits",73.95
"369","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Not Receiving Benefits",89.14
"370","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Not Receiving Benefits",109.21
"371","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Not Receiving Benefits",132.28
"372","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Not Receiving Benefits",146.67
"373","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Not Receiving Benefits",161.42
"374","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Not Receiving Benefits",207.49
"375","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Not Receiving Benefits",215.4
"376","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Not Receiving Benefits",262.81
"377","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Not Receiving Benefits",320.12
"378","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Not Receiving Benefits",43.2
"379","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Not Receiving Benefits",42.6
"380","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Not Receiving Benefits",42.5
"381","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Not Receiving Benefits",41.9
"382","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Not Receiving Benefits",40.9
"383","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Not Receiving Benefits",41
"384","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Not Receiving Benefits",41.19
"385","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Not Receiving Benefits",41.1
"386","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Not Receiving Benefits",40.9
"387","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Not Receiving Benefits",41.1
"388","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Not Receiving Benefits",40.1
"389","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Not Receiving Benefits",41.4
"390","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Not Receiving Benefits",38.3
