"","Statistic","Year","Fish.and.Fish.Product","value"
"260","Value of External Trade of Fish (Exports) (Euro Thousand)","1999","Oysters",2770
"261","Weight of External Trade of Fish (Exports) (Tonnes)","2000","Oysters",1042
"262","Value of External Trade of Fish (Exports) (Euro Thousand)","2000","Oysters",3786
"263","Weight of External Trade of Fish (Exports) (Tonnes)","2001","Oysters",1067
"264","Value of External Trade of Fish (Exports) (Euro Thousand)","2001","Oysters",4362
"265","Weight of External Trade of Fish (Exports) (Tonnes)","2002","Oysters",900
"266","Value of External Trade of Fish (Exports) (Euro Thousand)","2002","Oysters",3779
"267","Weight of External Trade of Fish (Exports) (Tonnes)","2003","Oysters",1422
"268","Value of External Trade of Fish (Exports) (Euro Thousand)","2003","Oysters",3892
"269","Weight of External Trade of Fish (Exports) (Tonnes)","2004","Oysters",1313
"270","Value of External Trade of Fish (Exports) (Euro Thousand)","2004","Oysters",3661
"271","Weight of External Trade of Fish (Exports) (Tonnes)","1996","Pollock",683
"272","Value of External Trade of Fish (Exports) (Euro Thousand)","1996","Pollock",838
"273","Weight of External Trade of Fish (Exports) (Tonnes)","1997","Pollock",526
"274","Value of External Trade of Fish (Exports) (Euro Thousand)","1997","Pollock",645
"275","Weight of External Trade of Fish (Exports) (Tonnes)","1998","Pollock",258
"276","Value of External Trade of Fish (Exports) (Euro Thousand)","1998","Pollock",366
"277","Weight of External Trade of Fish (Exports) (Tonnes)","1999","Pollock",205
"278","Value of External Trade of Fish (Exports) (Euro Thousand)","1999","Pollock",341
"279","Weight of External Trade of Fish (Exports) (Tonnes)","2000","Pollock",480
"280","Value of External Trade of Fish (Exports) (Euro Thousand)","2000","Pollock",581
"281","Weight of External Trade of Fish (Exports) (Tonnes)","2001","Pollock",633
"282","Value of External Trade of Fish (Exports) (Euro Thousand)","2001","Pollock",721
"283","Weight of External Trade of Fish (Exports) (Tonnes)","2002","Pollock",97
"284","Value of External Trade of Fish (Exports) (Euro Thousand)","2002","Pollock",148
"285","Weight of External Trade of Fish (Exports) (Tonnes)","2003","Pollock",137
"286","Value of External Trade of Fish (Exports) (Euro Thousand)","2003","Pollock",241
"287","Weight of External Trade of Fish (Exports) (Tonnes)","2004","Pollock",207
"288","Value of External Trade of Fish (Exports) (Euro Thousand)","2004","Pollock",410
"289","Weight of External Trade of Fish (Exports) (Tonnes)","1996","Salmon",11954
"290","Value of External Trade of Fish (Exports) (Euro Thousand)","1996","Salmon",37974
"291","Weight of External Trade of Fish (Exports) (Tonnes)","1997","Salmon",11100
"292","Value of External Trade of Fish (Exports) (Euro Thousand)","1997","Salmon",36124
"293","Weight of External Trade of Fish (Exports) (Tonnes)","1998","Salmon",10253
"294","Value of External Trade of Fish (Exports) (Euro Thousand)","1998","Salmon",37040
"295","Weight of External Trade of Fish (Exports) (Tonnes)","1999","Salmon",11520
"296","Value of External Trade of Fish (Exports) (Euro Thousand)","1999","Salmon",47356
"297","Weight of External Trade of Fish (Exports) (Tonnes)","2000","Salmon",10796
"298","Value of External Trade of Fish (Exports) (Euro Thousand)","2000","Salmon",50964
"299","Weight of External Trade of Fish (Exports) (Tonnes)","2001","Salmon",16982
"300","Value of External Trade of Fish (Exports) (Euro Thousand)","2001","Salmon",61688
"301","Weight of External Trade of Fish (Exports) (Tonnes)","2002","Salmon",15819
"302","Value of External Trade of Fish (Exports) (Euro Thousand)","2002","Salmon",57966
"303","Weight of External Trade of Fish (Exports) (Tonnes)","2003","Salmon",11669
"304","Value of External Trade of Fish (Exports) (Euro Thousand)","2003","Salmon",45045
"305","Weight of External Trade of Fish (Exports) (Tonnes)","2004","Salmon",8303
"306","Value of External Trade of Fish (Exports) (Euro Thousand)","2004","Salmon",36642
"307","Weight of External Trade of Fish (Exports) (Tonnes)","1996","Sardines",1627
"308","Value of External Trade of Fish (Exports) (Euro Thousand)","1996","Sardines",988
"309","Weight of External Trade of Fish (Exports) (Tonnes)","1997","Sardines",622
"310","Value of External Trade of Fish (Exports) (Euro Thousand)","1997","Sardines",405
"311","Weight of External Trade of Fish (Exports) (Tonnes)","1998","Sardines",1120
"312","Value of External Trade of Fish (Exports) (Euro Thousand)","1998","Sardines",573
"313","Weight of External Trade of Fish (Exports) (Tonnes)","1999","Sardines",2011
"314","Value of External Trade of Fish (Exports) (Euro Thousand)","1999","Sardines",1610
"315","Weight of External Trade of Fish (Exports) (Tonnes)","2000","Sardines",4819
"316","Value of External Trade of Fish (Exports) (Euro Thousand)","2000","Sardines",5333
"317","Weight of External Trade of Fish (Exports) (Tonnes)","2001","Sardines",25992
"318","Value of External Trade of Fish (Exports) (Euro Thousand)","2001","Sardines",12055
"319","Weight of External Trade of Fish (Exports) (Tonnes)","2002","Sardines",22194
"320","Value of External Trade of Fish (Exports) (Euro Thousand)","2002","Sardines",9272
"321","Weight of External Trade of Fish (Exports) (Tonnes)","2003","Sardines",21448
"322","Value of External Trade of Fish (Exports) (Euro Thousand)","2003","Sardines",8498
"323","Weight of External Trade of Fish (Exports) (Tonnes)","2004","Sardines",14655
"324","Value of External Trade of Fish (Exports) (Euro Thousand)","2004","Sardines",8623
"325","Weight of External Trade of Fish (Exports) (Tonnes)","1996","Scallops",158
"326","Value of External Trade of Fish (Exports) (Euro Thousand)","1996","Scallops",1395
"327","Weight of External Trade of Fish (Exports) (Tonnes)","1997","Scallops",378
"328","Value of External Trade of Fish (Exports) (Euro Thousand)","1997","Scallops",1987
"329","Weight of External Trade of Fish (Exports) (Tonnes)","1998","Scallops",288
"330","Value of External Trade of Fish (Exports) (Euro Thousand)","1998","Scallops",2405
"331","Weight of External Trade of Fish (Exports) (Tonnes)","1999","Scallops",624
"332","Value of External Trade of Fish (Exports) (Euro Thousand)","1999","Scallops",4543
"333","Weight of External Trade of Fish (Exports) (Tonnes)","2000","Scallops",684
"334","Value of External Trade of Fish (Exports) (Euro Thousand)","2000","Scallops",4308
"335","Weight of External Trade of Fish (Exports) (Tonnes)","2001","Scallops",623
"336","Value of External Trade of Fish (Exports) (Euro Thousand)","2001","Scallops",4497
"337","Weight of External Trade of Fish (Exports) (Tonnes)","2002","Scallops",467
"338","Value of External Trade of Fish (Exports) (Euro Thousand)","2002","Scallops",4115
"339","Weight of External Trade of Fish (Exports) (Tonnes)","2003","Scallops",551
"340","Value of External Trade of Fish (Exports) (Euro Thousand)","2003","Scallops",4703
"341","Weight of External Trade of Fish (Exports) (Tonnes)","2004","Scallops",445
"342","Value of External Trade of Fish (Exports) (Euro Thousand)","2004","Scallops",4211
"343","Weight of External Trade of Fish (Exports) (Tonnes)","1996","Shrimps and Prawns",5791
"344","Value of External Trade of Fish (Exports) (Euro Thousand)","1996","Shrimps and Prawns",30024
"345","Weight of External Trade of Fish (Exports) (Tonnes)","1997","Shrimps and Prawns",5986
"346","Value of External Trade of Fish (Exports) (Euro Thousand)","1997","Shrimps and Prawns",33546
"347","Weight of External Trade of Fish (Exports) (Tonnes)","1998","Shrimps and Prawns",6635
"348","Value of External Trade of Fish (Exports) (Euro Thousand)","1998","Shrimps and Prawns",39867
"349","Weight of External Trade of Fish (Exports) (Tonnes)","1999","Shrimps and Prawns",8239
"350","Value of External Trade of Fish (Exports) (Euro Thousand)","1999","Shrimps and Prawns",50237
"351","Weight of External Trade of Fish (Exports) (Tonnes)","2000","Shrimps and Prawns",6710
"352","Value of External Trade of Fish (Exports) (Euro Thousand)","2000","Shrimps and Prawns",41458
"353","Weight of External Trade of Fish (Exports) (Tonnes)","2001","Shrimps and Prawns",7058
"354","Value of External Trade of Fish (Exports) (Euro Thousand)","2001","Shrimps and Prawns",46321
"355","Weight of External Trade of Fish (Exports) (Tonnes)","2002","Shrimps and Prawns",5790
"356","Value of External Trade of Fish (Exports) (Euro Thousand)","2002","Shrimps and Prawns",39941
"357","Weight of External Trade of Fish (Exports) (Tonnes)","2003","Shrimps and Prawns",7176
"358","Value of External Trade of Fish (Exports) (Euro Thousand)","2003","Shrimps and Prawns",43482
"359","Weight of External Trade of Fish (Exports) (Tonnes)","2004","Shrimps and Prawns",7930
"360","Value of External Trade of Fish (Exports) (Euro Thousand)","2004","Shrimps and Prawns",47603
"361","Weight of External Trade of Fish (Exports) (Tonnes)","1996","Sole",279
"362","Value of External Trade of Fish (Exports) (Euro Thousand)","1996","Sole",1249
"363","Weight of External Trade of Fish (Exports) (Tonnes)","1997","Sole",283
"364","Value of External Trade of Fish (Exports) (Euro Thousand)","1997","Sole",1365
"365","Weight of External Trade of Fish (Exports) (Tonnes)","1998","Sole",267
"366","Value of External Trade of Fish (Exports) (Euro Thousand)","1998","Sole",1740
"367","Weight of External Trade of Fish (Exports) (Tonnes)","1999","Sole",182
"368","Value of External Trade of Fish (Exports) (Euro Thousand)","1999","Sole",892
"369","Weight of External Trade of Fish (Exports) (Tonnes)","2000","Sole",170
"370","Value of External Trade of Fish (Exports) (Euro Thousand)","2000","Sole",901
"371","Weight of External Trade of Fish (Exports) (Tonnes)","2001","Sole",174
"372","Value of External Trade of Fish (Exports) (Euro Thousand)","2001","Sole",1077
"373","Weight of External Trade of Fish (Exports) (Tonnes)","2002","Sole",182
"374","Value of External Trade of Fish (Exports) (Euro Thousand)","2002","Sole",1288
"375","Weight of External Trade of Fish (Exports) (Tonnes)","2003","Sole",320
"376","Value of External Trade of Fish (Exports) (Euro Thousand)","2003","Sole",2161
"377","Weight of External Trade of Fish (Exports) (Tonnes)","2004","Sole",296
"378","Value of External Trade of Fish (Exports) (Euro Thousand)","2004","Sole",1956
"379","Weight of External Trade of Fish (Exports) (Tonnes)","1996","Squid",206
"380","Value of External Trade of Fish (Exports) (Euro Thousand)","1996","Squid",830
"381","Weight of External Trade of Fish (Exports) (Tonnes)","1997","Squid",208
"382","Value of External Trade of Fish (Exports) (Euro Thousand)","1997","Squid",965
"383","Weight of External Trade of Fish (Exports) (Tonnes)","1998","Squid",106
"384","Value of External Trade of Fish (Exports) (Euro Thousand)","1998","Squid",405
"385","Weight of External Trade of Fish (Exports) (Tonnes)","1999","Squid",210
"386","Value of External Trade of Fish (Exports) (Euro Thousand)","1999","Squid",737
"387","Weight of External Trade of Fish (Exports) (Tonnes)","2000","Squid",104
"388","Value of External Trade of Fish (Exports) (Euro Thousand)","2000","Squid",336
"389","Weight of External Trade of Fish (Exports) (Tonnes)","2001","Squid",129
"390","Value of External Trade of Fish (Exports) (Euro Thousand)","2001","Squid",375
"391","Weight of External Trade of Fish (Exports) (Tonnes)","2002","Squid",138
"392","Value of External Trade of Fish (Exports) (Euro Thousand)","2002","Squid",472
"393","Weight of External Trade of Fish (Exports) (Tonnes)","2003","Squid",318
"394","Value of External Trade of Fish (Exports) (Euro Thousand)","2003","Squid",1458
"395","Weight of External Trade of Fish (Exports) (Tonnes)","2004","Squid",202
"396","Value of External Trade of Fish (Exports) (Euro Thousand)","2004","Squid",1086
"397","Weight of External Trade of Fish (Exports) (Tonnes)","1996","Surimi",1418
"398","Value of External Trade of Fish (Exports) (Euro Thousand)","1996","Surimi",2932
"399","Weight of External Trade of Fish (Exports) (Tonnes)","1997","Surimi",204
"400","Value of External Trade of Fish (Exports) (Euro Thousand)","1997","Surimi",290
"401","Weight of External Trade of Fish (Exports) (Tonnes)","1998","Surimi",534
"402","Value of External Trade of Fish (Exports) (Euro Thousand)","1998","Surimi",941
"403","Weight of External Trade of Fish (Exports) (Tonnes)","1999","Surimi",814
"404","Value of External Trade of Fish (Exports) (Euro Thousand)","1999","Surimi",812
"405","Weight of External Trade of Fish (Exports) (Tonnes)","2000","Surimi",1367
"406","Value of External Trade of Fish (Exports) (Euro Thousand)","2000","Surimi",1424
"407","Weight of External Trade of Fish (Exports) (Tonnes)","2001","Surimi",1667
"408","Value of External Trade of Fish (Exports) (Euro Thousand)","2001","Surimi",2371
"409","Weight of External Trade of Fish (Exports) (Tonnes)","2002","Surimi",2792
"410","Value of External Trade of Fish (Exports) (Euro Thousand)","2002","Surimi",4721
"411","Weight of External Trade of Fish (Exports) (Tonnes)","2003","Surimi",2606
"412","Value of External Trade of Fish (Exports) (Euro Thousand)","2003","Surimi",5670
"413","Weight of External Trade of Fish (Exports) (Tonnes)","2004","Surimi",1537
"414","Value of External Trade of Fish (Exports) (Euro Thousand)","2004","Surimi",2408
"415","Weight of External Trade of Fish (Exports) (Tonnes)","1996","Trout",75
"416","Value of External Trade of Fish (Exports) (Euro Thousand)","1996","Trout",364
"417","Weight of External Trade of Fish (Exports) (Tonnes)","1997","Trout",140
"418","Value of External Trade of Fish (Exports) (Euro Thousand)","1997","Trout",300
"419","Weight of External Trade of Fish (Exports) (Tonnes)","1998","Trout",330
"420","Value of External Trade of Fish (Exports) (Euro Thousand)","1998","Trout",644
"421","Weight of External Trade of Fish (Exports) (Tonnes)","1999","Trout",1135
"422","Value of External Trade of Fish (Exports) (Euro Thousand)","1999","Trout",3740
"423","Weight of External Trade of Fish (Exports) (Tonnes)","2000","Trout",1639
"424","Value of External Trade of Fish (Exports) (Euro Thousand)","2000","Trout",6177
"425","Weight of External Trade of Fish (Exports) (Tonnes)","2001","Trout",2165
"426","Value of External Trade of Fish (Exports) (Euro Thousand)","2001","Trout",4978
"427","Weight of External Trade of Fish (Exports) (Tonnes)","2002","Trout",3431
"428","Value of External Trade of Fish (Exports) (Euro Thousand)","2002","Trout",8424
"429","Weight of External Trade of Fish (Exports) (Tonnes)","2003","Trout",1001
"430","Value of External Trade of Fish (Exports) (Euro Thousand)","2003","Trout",3443
"431","Weight of External Trade of Fish (Exports) (Tonnes)","2004","Trout",1266
"432","Value of External Trade of Fish (Exports) (Euro Thousand)","2004","Trout",3139
"433","Weight of External Trade of Fish (Exports) (Tonnes)","1996","Tuna",756
"434","Value of External Trade of Fish (Exports) (Euro Thousand)","1996","Tuna",1620
"435","Weight of External Trade of Fish (Exports) (Tonnes)","1997","Tuna",1358
"436","Value of External Trade of Fish (Exports) (Euro Thousand)","1997","Tuna",3607
"437","Weight of External Trade of Fish (Exports) (Tonnes)","1998","Tuna",2394
"438","Value of External Trade of Fish (Exports) (Euro Thousand)","1998","Tuna",5059
"439","Weight of External Trade of Fish (Exports) (Tonnes)","1999","Tuna",3285
"440","Value of External Trade of Fish (Exports) (Euro Thousand)","1999","Tuna",7673
"441","Weight of External Trade of Fish (Exports) (Tonnes)","2000","Tuna",3038
"442","Value of External Trade of Fish (Exports) (Euro Thousand)","2000","Tuna",7983
"443","Weight of External Trade of Fish (Exports) (Tonnes)","2001","Tuna",4335
"444","Value of External Trade of Fish (Exports) (Euro Thousand)","2001","Tuna",8842
"445","Weight of External Trade of Fish (Exports) (Tonnes)","2002","Tuna",648
"446","Value of External Trade of Fish (Exports) (Euro Thousand)","2002","Tuna",1316
"447","Weight of External Trade of Fish (Exports) (Tonnes)","2003","Tuna",4113
"448","Value of External Trade of Fish (Exports) (Euro Thousand)","2003","Tuna",4323
"449","Weight of External Trade of Fish (Exports) (Tonnes)","2004","Tuna",1120
"450","Value of External Trade of Fish (Exports) (Euro Thousand)","2004","Tuna",2550
"451","Weight of External Trade of Fish (Exports) (Tonnes)","1996","Whiting",3939
"452","Value of External Trade of Fish (Exports) (Euro Thousand)","1996","Whiting",5182
"453","Weight of External Trade of Fish (Exports) (Tonnes)","1997","Whiting",4513
"454","Value of External Trade of Fish (Exports) (Euro Thousand)","1997","Whiting",6388
"455","Weight of External Trade of Fish (Exports) (Tonnes)","1998","Whiting",1552
"456","Value of External Trade of Fish (Exports) (Euro Thousand)","1998","Whiting",3162
"457","Weight of External Trade of Fish (Exports) (Tonnes)","1999","Whiting",1360
"458","Value of External Trade of Fish (Exports) (Euro Thousand)","1999","Whiting",3420
"459","Weight of External Trade of Fish (Exports) (Tonnes)","2000","Whiting",1625
"460","Value of External Trade of Fish (Exports) (Euro Thousand)","2000","Whiting",3331
"461","Weight of External Trade of Fish (Exports) (Tonnes)","2001","Whiting",3032
"462","Value of External Trade of Fish (Exports) (Euro Thousand)","2001","Whiting",4118
"463","Weight of External Trade of Fish (Exports) (Tonnes)","2002","Whiting",5136
"464","Value of External Trade of Fish (Exports) (Euro Thousand)","2002","Whiting",5558
"465","Weight of External Trade of Fish (Exports) (Tonnes)","2003","Whiting",7704
"466","Value of External Trade of Fish (Exports) (Euro Thousand)","2003","Whiting",5678
"467","Weight of External Trade of Fish (Exports) (Tonnes)","2004","Whiting",1892
"468","Value of External Trade of Fish (Exports) (Euro Thousand)","2004","Whiting",3932
"469","Weight of External Trade of Fish (Exports) (Tonnes)","1996","Ling",326
"470","Value of External Trade of Fish (Exports) (Euro Thousand)","1996","Ling",493
"471","Weight of External Trade of Fish (Exports) (Tonnes)","1997","Ling",554
"472","Value of External Trade of Fish (Exports) (Euro Thousand)","1997","Ling",726
"473","Weight of External Trade of Fish (Exports) (Tonnes)","1998","Ling",280
"474","Value of External Trade of Fish (Exports) (Euro Thousand)","1998","Ling",460
"475","Weight of External Trade of Fish (Exports) (Tonnes)","1999","Ling",310
"476","Value of External Trade of Fish (Exports) (Euro Thousand)","1999","Ling",523
"477","Weight of External Trade of Fish (Exports) (Tonnes)","2000","Ling",225
"478","Value of External Trade of Fish (Exports) (Euro Thousand)","2000","Ling",422
"479","Weight of External Trade of Fish (Exports) (Tonnes)","2001","Ling",266
"480","Value of External Trade of Fish (Exports) (Euro Thousand)","2001","Ling",568
"481","Weight of External Trade of Fish (Exports) (Tonnes)","2002","Ling",156
"482","Value of External Trade of Fish (Exports) (Euro Thousand)","2002","Ling",285
"483","Weight of External Trade of Fish (Exports) (Tonnes)","2003","Ling",272
"484","Value of External Trade of Fish (Exports) (Euro Thousand)","2003","Ling",483
"485","Weight of External Trade of Fish (Exports) (Tonnes)","2004","Ling",311
"486","Value of External Trade of Fish (Exports) (Euro Thousand)","2004","Ling",541
"487","Weight of External Trade of Fish (Exports) (Tonnes)","1996","Meal, Oils, Fats, Waste",21652
"488","Value of External Trade of Fish (Exports) (Euro Thousand)","1996","Meal, Oils, Fats, Waste",14255
"489","Weight of External Trade of Fish (Exports) (Tonnes)","1997","Meal, Oils, Fats, Waste",14823
"490","Value of External Trade of Fish (Exports) (Euro Thousand)","1997","Meal, Oils, Fats, Waste",9917
"491","Weight of External Trade of Fish (Exports) (Tonnes)","1998","Meal, Oils, Fats, Waste",11930
"492","Value of External Trade of Fish (Exports) (Euro Thousand)","1998","Meal, Oils, Fats, Waste",9214
"493","Weight of External Trade of Fish (Exports) (Tonnes)","1999","Meal, Oils, Fats, Waste",7262
"494","Value of External Trade of Fish (Exports) (Euro Thousand)","1999","Meal, Oils, Fats, Waste",6421
"495","Weight of External Trade of Fish (Exports) (Tonnes)","2000","Meal, Oils, Fats, Waste",14312
"496","Value of External Trade of Fish (Exports) (Euro Thousand)","2000","Meal, Oils, Fats, Waste",9225
"497","Weight of External Trade of Fish (Exports) (Tonnes)","2001","Meal, Oils, Fats, Waste",38838
"498","Value of External Trade of Fish (Exports) (Euro Thousand)","2001","Meal, Oils, Fats, Waste",23817
"499","Weight of External Trade of Fish (Exports) (Tonnes)","2002","Meal, Oils, Fats, Waste",25178
"500","Value of External Trade of Fish (Exports) (Euro Thousand)","2002","Meal, Oils, Fats, Waste",17319
"501","Weight of External Trade of Fish (Exports) (Tonnes)","2003","Meal, Oils, Fats, Waste",16446
"502","Value of External Trade of Fish (Exports) (Euro Thousand)","2003","Meal, Oils, Fats, Waste",11741
"503","Weight of External Trade of Fish (Exports) (Tonnes)","2004","Meal, Oils, Fats, Waste",29757
"504","Value of External Trade of Fish (Exports) (Euro Thousand)","2004","Meal, Oils, Fats, Waste",20726
"505","Weight of External Trade of Fish (Exports) (Tonnes)","1996","Other Species and Products",13423
"506","Value of External Trade of Fish (Exports) (Euro Thousand)","1996","Other Species and Products",18976
"507","Weight of External Trade of Fish (Exports) (Tonnes)","1997","Other Species and Products",10361
"508","Value of External Trade of Fish (Exports) (Euro Thousand)","1997","Other Species and Products",18661
"509","Weight of External Trade of Fish (Exports) (Tonnes)","1998","Other Species and Products",12455
"510","Value of External Trade of Fish (Exports) (Euro Thousand)","1998","Other Species and Products",21508
"511","Weight of External Trade of Fish (Exports) (Tonnes)","1999","Other Species and Products",14339
"512","Value of External Trade of Fish (Exports) (Euro Thousand)","1999","Other Species and Products",26893
"513","Weight of External Trade of Fish (Exports) (Tonnes)","2000","Other Species and Products",14300
"514","Value of External Trade of Fish (Exports) (Euro Thousand)","2000","Other Species and Products",27602
"515","Weight of External Trade of Fish (Exports) (Tonnes)","2001","Other Species and Products",14590
"516","Value of External Trade of Fish (Exports) (Euro Thousand)","2001","Other Species and Products",38362
"517","Weight of External Trade of Fish (Exports) (Tonnes)","2002","Other Species and Products",11500
"518","Value of External Trade of Fish (Exports) (Euro Thousand)","2002","Other Species and Products",35085
"519","Weight of External Trade of Fish (Exports) (Tonnes)","2003","Other Species and Products",13792
"520","Value of External Trade of Fish (Exports) (Euro Thousand)","2003","Other Species and Products",36400
"521","Weight of External Trade of Fish (Exports) (Tonnes)","2004","Other Species and Products",14634
"522","Value of External Trade of Fish (Exports) (Euro Thousand)","2004","Other Species and Products",37122
