"","Statistic","Year","Country","value"
"1","Weight of External Trade (Exports) (Tonnes)","1994","All countries",247581
"2","Value of External Trade (Exports) (Euro Thousand)","1994","All countries",242628
"3","Weight of External Trade (Exports) (Tonnes)","1995","All countries",297088
"4","Value of External Trade (Exports) (Euro Thousand)","1995","All countries",277363
"5","Weight of External Trade (Exports) (Tonnes)","1996","All countries",293036
"6","Value of External Trade (Exports) (Euro Thousand)","1996","All countries",319965
"7","Weight of External Trade (Exports) (Tonnes)","1997","All countries",250027
"8","Value of External Trade (Exports) (Euro Thousand)","1997","All countries",290402
"9","Weight of External Trade (Exports) (Tonnes)","1998","All countries",248148
"10","Value of External Trade (Exports) (Euro Thousand)","1998","All countries",304331
"11","Weight of External Trade (Exports) (Tonnes)","1999","All countries",208402
"12","Value of External Trade (Exports) (Euro Thousand)","1999","All countries",306040
"13","Weight of External Trade (Exports) (Tonnes)","2000","All countries",216898
"14","Value of External Trade (Exports) (Euro Thousand)","2000","All countries",333153
"15","Weight of External Trade (Exports) (Tonnes)","2001","All countries",314371
"16","Value of External Trade (Exports) (Euro Thousand)","2001","All countries",447026
"17","Weight of External Trade (Exports) (Tonnes)","2002","All countries",308119
"18","Value of External Trade (Exports) (Euro Thousand)","2002","All countries",427819
"19","Weight of External Trade (Exports) (Tonnes)","2003","All countries",260542
"20","Value of External Trade (Exports) (Euro Thousand)","2003","All countries",383953
"21","Weight of External Trade (Exports) (Tonnes)","2004","All countries",264581
"22","Value of External Trade (Exports) (Euro Thousand)","2004","All countries",391238
"23","Weight of External Trade (Exports) (Tonnes)","1994","EU25",NA
"24","Value of External Trade (Exports) (Euro Thousand)","1994","EU25",NA
"25","Weight of External Trade (Exports) (Tonnes)","1995","EU25",NA
"26","Value of External Trade (Exports) (Euro Thousand)","1995","EU25",NA
"27","Weight of External Trade (Exports) (Tonnes)","1996","EU25",NA
"28","Value of External Trade (Exports) (Euro Thousand)","1996","EU25",NA
"29","Weight of External Trade (Exports) (Tonnes)","1997","EU25",NA
"30","Value of External Trade (Exports) (Euro Thousand)","1997","EU25",NA
"31","Weight of External Trade (Exports) (Tonnes)","1998","EU25",NA
"32","Value of External Trade (Exports) (Euro Thousand)","1998","EU25",NA
"33","Weight of External Trade (Exports) (Tonnes)","1999","EU25",NA
"34","Value of External Trade (Exports) (Euro Thousand)","1999","EU25",NA
"35","Weight of External Trade (Exports) (Tonnes)","2000","EU25",NA
"36","Value of External Trade (Exports) (Euro Thousand)","2000","EU25",NA
"37","Weight of External Trade (Exports) (Tonnes)","2001","EU25",NA
"38","Value of External Trade (Exports) (Euro Thousand)","2001","EU25",NA
"39","Weight of External Trade (Exports) (Tonnes)","2002","EU25",NA
"40","Value of External Trade (Exports) (Euro Thousand)","2002","EU25",NA
"41","Weight of External Trade (Exports) (Tonnes)","2003","EU25",NA
"42","Value of External Trade (Exports) (Euro Thousand)","2003","EU25",NA
"43","Weight of External Trade (Exports) (Tonnes)","2004","EU25",179715
"44","Value of External Trade (Exports) (Euro Thousand)","2004","EU25",321504
"45","Weight of External Trade (Exports) (Tonnes)","1994","EU15",157864
"46","Value of External Trade (Exports) (Euro Thousand)","1994","EU15",188451
"47","Weight of External Trade (Exports) (Tonnes)","1995","EU15",159621
"48","Value of External Trade (Exports) (Euro Thousand)","1995","EU15",200212
"49","Weight of External Trade (Exports) (Tonnes)","1996","EU15",178411
"50","Value of External Trade (Exports) (Euro Thousand)","1996","EU15",227646
"51","Weight of External Trade (Exports) (Tonnes)","1997","EU15",147162
"52","Value of External Trade (Exports) (Euro Thousand)","1997","EU15",216341
"53","Weight of External Trade (Exports) (Tonnes)","1998","EU15",159065
"54","Value of External Trade (Exports) (Euro Thousand)","1998","EU15",241626
"55","Weight of External Trade (Exports) (Tonnes)","1999","EU15",124792
"56","Value of External Trade (Exports) (Euro Thousand)","1999","EU15",246801
"57","Weight of External Trade (Exports) (Tonnes)","2000","EU15",128753
"58","Value of External Trade (Exports) (Euro Thousand)","2000","EU15",260884
"59","Weight of External Trade (Exports) (Tonnes)","2001","EU15",209584
"60","Value of External Trade (Exports) (Euro Thousand)","2001","EU15",351483
"61","Weight of External Trade (Exports) (Tonnes)","2002","EU15",189633
"62","Value of External Trade (Exports) (Euro Thousand)","2002","EU15",320699
"63","Weight of External Trade (Exports) (Tonnes)","2003","EU15",174029
"64","Value of External Trade (Exports) (Euro Thousand)","2003","EU15",299885
"65","Weight of External Trade (Exports) (Tonnes)","2004","EU15",162484
"66","Value of External Trade (Exports) (Euro Thousand)","2004","EU15",304438
"67","Weight of External Trade (Exports) (Tonnes)","1994","Austria",714
"68","Value of External Trade (Exports) (Euro Thousand)","1994","Austria",736
"69","Weight of External Trade (Exports) (Tonnes)","1995","Austria",326
"70","Value of External Trade (Exports) (Euro Thousand)","1995","Austria",281
"71","Weight of External Trade (Exports) (Tonnes)","1996","Austria",351
"72","Value of External Trade (Exports) (Euro Thousand)","1996","Austria",408
"73","Weight of External Trade (Exports) (Tonnes)","1997","Austria",335
"74","Value of External Trade (Exports) (Euro Thousand)","1997","Austria",483
"75","Weight of External Trade (Exports) (Tonnes)","1998","Austria",256
"76","Value of External Trade (Exports) (Euro Thousand)","1998","Austria",398
"77","Weight of External Trade (Exports) (Tonnes)","1999","Austria",192
"78","Value of External Trade (Exports) (Euro Thousand)","1999","Austria",192
"79","Weight of External Trade (Exports) (Tonnes)","2000","Austria",188
"80","Value of External Trade (Exports) (Euro Thousand)","2000","Austria",304
"81","Weight of External Trade (Exports) (Tonnes)","2001","Austria",510
"82","Value of External Trade (Exports) (Euro Thousand)","2001","Austria",705
"83","Weight of External Trade (Exports) (Tonnes)","2002","Austria",351
"84","Value of External Trade (Exports) (Euro Thousand)","2002","Austria",525
"85","Weight of External Trade (Exports) (Tonnes)","2003","Austria",213
"86","Value of External Trade (Exports) (Euro Thousand)","2003","Austria",385
"87","Weight of External Trade (Exports) (Tonnes)","2004","Austria",304
"88","Value of External Trade (Exports) (Euro Thousand)","2004","Austria",455
"89","Weight of External Trade (Exports) (Tonnes)","1994","Belgium/Luxemburg",802
"90","Value of External Trade (Exports) (Euro Thousand)","1994","Belgium/Luxemburg",2058
"91","Weight of External Trade (Exports) (Tonnes)","1995","Belgium/Luxemburg",967
"92","Value of External Trade (Exports) (Euro Thousand)","1995","Belgium/Luxemburg",2672
"93","Weight of External Trade (Exports) (Tonnes)","1996","Belgium/Luxemburg",1664
"94","Value of External Trade (Exports) (Euro Thousand)","1996","Belgium/Luxemburg",3635
"95","Weight of External Trade (Exports) (Tonnes)","1997","Belgium/Luxemburg",1055
"96","Value of External Trade (Exports) (Euro Thousand)","1997","Belgium/Luxemburg",2807
"97","Weight of External Trade (Exports) (Tonnes)","1998","Belgium/Luxemburg",1010
"98","Value of External Trade (Exports) (Euro Thousand)","1998","Belgium/Luxemburg",2133
"99","Weight of External Trade (Exports) (Tonnes)","1999","Belgium/Luxemburg",952
"100","Value of External Trade (Exports) (Euro Thousand)","1999","Belgium/Luxemburg",2356
"101","Weight of External Trade (Exports) (Tonnes)","2000","Belgium/Luxemburg",1565
"102","Value of External Trade (Exports) (Euro Thousand)","2000","Belgium/Luxemburg",3096
"103","Weight of External Trade (Exports) (Tonnes)","2001","Belgium/Luxemburg",856
"104","Value of External Trade (Exports) (Euro Thousand)","2001","Belgium/Luxemburg",3159
"105","Weight of External Trade (Exports) (Tonnes)","2002","Belgium/Luxemburg",589
"106","Value of External Trade (Exports) (Euro Thousand)","2002","Belgium/Luxemburg",2584
"107","Weight of External Trade (Exports) (Tonnes)","2003","Belgium/Luxemburg",1634
"108","Value of External Trade (Exports) (Euro Thousand)","2003","Belgium/Luxemburg",4983
"109","Weight of External Trade (Exports) (Tonnes)","2004","Belgium/Luxemburg",1126
"110","Value of External Trade (Exports) (Euro Thousand)","2004","Belgium/Luxemburg",3584
"111","Weight of External Trade (Exports) (Tonnes)","1994","Cyprus",NA
"112","Value of External Trade (Exports) (Euro Thousand)","1994","Cyprus",NA
"113","Weight of External Trade (Exports) (Tonnes)","1995","Cyprus",NA
"114","Value of External Trade (Exports) (Euro Thousand)","1995","Cyprus",NA
"115","Weight of External Trade (Exports) (Tonnes)","1996","Cyprus",NA
"116","Value of External Trade (Exports) (Euro Thousand)","1996","Cyprus",NA
"117","Weight of External Trade (Exports) (Tonnes)","1997","Cyprus",NA
"118","Value of External Trade (Exports) (Euro Thousand)","1997","Cyprus",NA
"119","Weight of External Trade (Exports) (Tonnes)","1998","Cyprus",NA
"120","Value of External Trade (Exports) (Euro Thousand)","1998","Cyprus",NA
"121","Weight of External Trade (Exports) (Tonnes)","1999","Cyprus",NA
"122","Value of External Trade (Exports) (Euro Thousand)","1999","Cyprus",NA
"123","Weight of External Trade (Exports) (Tonnes)","2000","Cyprus",NA
"124","Value of External Trade (Exports) (Euro Thousand)","2000","Cyprus",NA
"125","Weight of External Trade (Exports) (Tonnes)","2001","Cyprus",NA
"126","Value of External Trade (Exports) (Euro Thousand)","2001","Cyprus",NA
"127","Weight of External Trade (Exports) (Tonnes)","2002","Cyprus",79
"128","Value of External Trade (Exports) (Euro Thousand)","2002","Cyprus",47
"129","Weight of External Trade (Exports) (Tonnes)","2003","Cyprus",34
"130","Value of External Trade (Exports) (Euro Thousand)","2003","Cyprus",17
"131","Weight of External Trade (Exports) (Tonnes)","2004","Cyprus",181
"132","Value of External Trade (Exports) (Euro Thousand)","2004","Cyprus",182
"133","Weight of External Trade (Exports) (Tonnes)","1994","Czech Republic",788
"134","Value of External Trade (Exports) (Euro Thousand)","1994","Czech Republic",495
"135","Weight of External Trade (Exports) (Tonnes)","1995","Czech Republic",1280
"136","Value of External Trade (Exports) (Euro Thousand)","1995","Czech Republic",881
"137","Weight of External Trade (Exports) (Tonnes)","1996","Czech Republic",2223
"138","Value of External Trade (Exports) (Euro Thousand)","1996","Czech Republic",1681
"139","Weight of External Trade (Exports) (Tonnes)","1997","Czech Republic",2191
"140","Value of External Trade (Exports) (Euro Thousand)","1997","Czech Republic",1545
"141","Weight of External Trade (Exports) (Tonnes)","1998","Czech Republic",2212
"142","Value of External Trade (Exports) (Euro Thousand)","1998","Czech Republic",1650
"143","Weight of External Trade (Exports) (Tonnes)","1999","Czech Republic",1770
"144","Value of External Trade (Exports) (Euro Thousand)","1999","Czech Republic",1028
"145","Weight of External Trade (Exports) (Tonnes)","2000","Czech Republic",1247
"146","Value of External Trade (Exports) (Euro Thousand)","2000","Czech Republic",1004
"147","Weight of External Trade (Exports) (Tonnes)","2001","Czech Republic",2442
"148","Value of External Trade (Exports) (Euro Thousand)","2001","Czech Republic",2467
"149","Weight of External Trade (Exports) (Tonnes)","2002","Czech Republic",2317
"150","Value of External Trade (Exports) (Euro Thousand)","2002","Czech Republic",2284
"151","Weight of External Trade (Exports) (Tonnes)","2003","Czech Republic",2643
"152","Value of External Trade (Exports) (Euro Thousand)","2003","Czech Republic",2387
"153","Weight of External Trade (Exports) (Tonnes)","2004","Czech Republic",2813
"154","Value of External Trade (Exports) (Euro Thousand)","2004","Czech Republic",2256
"155","Weight of External Trade (Exports) (Tonnes)","1994","Denmark",985
"156","Value of External Trade (Exports) (Euro Thousand)","1994","Denmark",1378
"157","Weight of External Trade (Exports) (Tonnes)","1995","Denmark",1076
"158","Value of External Trade (Exports) (Euro Thousand)","1995","Denmark",1458
"159","Weight of External Trade (Exports) (Tonnes)","1996","Denmark",1112
"160","Value of External Trade (Exports) (Euro Thousand)","1996","Denmark",1105
"161","Weight of External Trade (Exports) (Tonnes)","1997","Denmark",1916
"162","Value of External Trade (Exports) (Euro Thousand)","1997","Denmark",1009
"163","Weight of External Trade (Exports) (Tonnes)","1998","Denmark",2972
"164","Value of External Trade (Exports) (Euro Thousand)","1998","Denmark",2526
"165","Weight of External Trade (Exports) (Tonnes)","1999","Denmark",1087
"166","Value of External Trade (Exports) (Euro Thousand)","1999","Denmark",2540
"167","Weight of External Trade (Exports) (Tonnes)","2000","Denmark",724
"168","Value of External Trade (Exports) (Euro Thousand)","2000","Denmark",2236
"169","Weight of External Trade (Exports) (Tonnes)","2001","Denmark",5541
"170","Value of External Trade (Exports) (Euro Thousand)","2001","Denmark",6866
"171","Weight of External Trade (Exports) (Tonnes)","2002","Denmark",3491
"172","Value of External Trade (Exports) (Euro Thousand)","2002","Denmark",4256
"173","Weight of External Trade (Exports) (Tonnes)","2003","Denmark",2598
"174","Value of External Trade (Exports) (Euro Thousand)","2003","Denmark",3786
"175","Weight of External Trade (Exports) (Tonnes)","2004","Denmark",6746
"176","Value of External Trade (Exports) (Euro Thousand)","2004","Denmark",6128
"177","Weight of External Trade (Exports) (Tonnes)","1994","Estonia",NA
"178","Value of External Trade (Exports) (Euro Thousand)","1994","Estonia",NA
"179","Weight of External Trade (Exports) (Tonnes)","1995","Estonia",NA
"180","Value of External Trade (Exports) (Euro Thousand)","1995","Estonia",NA
"181","Weight of External Trade (Exports) (Tonnes)","1996","Estonia",NA
"182","Value of External Trade (Exports) (Euro Thousand)","1996","Estonia",NA
"183","Weight of External Trade (Exports) (Tonnes)","1997","Estonia",NA
"184","Value of External Trade (Exports) (Euro Thousand)","1997","Estonia",NA
"185","Weight of External Trade (Exports) (Tonnes)","1998","Estonia",NA
"186","Value of External Trade (Exports) (Euro Thousand)","1998","Estonia",NA
"187","Weight of External Trade (Exports) (Tonnes)","1999","Estonia",NA
"188","Value of External Trade (Exports) (Euro Thousand)","1999","Estonia",NA
"189","Weight of External Trade (Exports) (Tonnes)","2000","Estonia",NA
"190","Value of External Trade (Exports) (Euro Thousand)","2000","Estonia",NA
"191","Weight of External Trade (Exports) (Tonnes)","2001","Estonia",NA
"192","Value of External Trade (Exports) (Euro Thousand)","2001","Estonia",NA
"193","Weight of External Trade (Exports) (Tonnes)","2002","Estonia",39
"194","Value of External Trade (Exports) (Euro Thousand)","2002","Estonia",47
"195","Weight of External Trade (Exports) (Tonnes)","2003","Estonia",215
"196","Value of External Trade (Exports) (Euro Thousand)","2003","Estonia",212
"197","Weight of External Trade (Exports) (Tonnes)","2004","Estonia",35
"198","Value of External Trade (Exports) (Euro Thousand)","2004","Estonia",57
"199","Weight of External Trade (Exports) (Tonnes)","1994","Finland",550
"200","Value of External Trade (Exports) (Euro Thousand)","1994","Finland",434
"201","Weight of External Trade (Exports) (Tonnes)","1995","Finland",368
"202","Value of External Trade (Exports) (Euro Thousand)","1995","Finland",366
"203","Weight of External Trade (Exports) (Tonnes)","1996","Finland",446
"204","Value of External Trade (Exports) (Euro Thousand)","1996","Finland",596
"205","Weight of External Trade (Exports) (Tonnes)","1997","Finland",216
"206","Value of External Trade (Exports) (Euro Thousand)","1997","Finland",375
"207","Weight of External Trade (Exports) (Tonnes)","1998","Finland",210
"208","Value of External Trade (Exports) (Euro Thousand)","1998","Finland",335
"209","Weight of External Trade (Exports) (Tonnes)","1999","Finland",228
"210","Value of External Trade (Exports) (Euro Thousand)","1999","Finland",160
"211","Weight of External Trade (Exports) (Tonnes)","2000","Finland",41
"212","Value of External Trade (Exports) (Euro Thousand)","2000","Finland",96
"213","Weight of External Trade (Exports) (Tonnes)","2001","Finland",162
"214","Value of External Trade (Exports) (Euro Thousand)","2001","Finland",245
"215","Weight of External Trade (Exports) (Tonnes)","2002","Finland",408
"216","Value of External Trade (Exports) (Euro Thousand)","2002","Finland",1518
"217","Weight of External Trade (Exports) (Tonnes)","2003","Finland",334
"218","Value of External Trade (Exports) (Euro Thousand)","2003","Finland",696
"219","Weight of External Trade (Exports) (Tonnes)","2004","Finland",305
"220","Value of External Trade (Exports) (Euro Thousand)","2004","Finland",524
"221","Weight of External Trade (Exports) (Tonnes)","1994","France",33720
"222","Value of External Trade (Exports) (Euro Thousand)","1994","France",62023
"223","Weight of External Trade (Exports) (Tonnes)","1995","France",38567
"224","Value of External Trade (Exports) (Euro Thousand)","1995","France",61436
"225","Weight of External Trade (Exports) (Tonnes)","1996","France",34815
"226","Value of External Trade (Exports) (Euro Thousand)","1996","France",67614
"227","Weight of External Trade (Exports) (Tonnes)","1997","France",31084
"228","Value of External Trade (Exports) (Euro Thousand)","1997","France",62677
"229","Weight of External Trade (Exports) (Tonnes)","1998","France",36318
"230","Value of External Trade (Exports) (Euro Thousand)","1998","France",72421
"231","Weight of External Trade (Exports) (Tonnes)","1999","France",32745
"232","Value of External Trade (Exports) (Euro Thousand)","1999","France",80806
"233","Weight of External Trade (Exports) (Tonnes)","2000","France",28859
"234","Value of External Trade (Exports) (Euro Thousand)","2000","France",76097
"235","Weight of External Trade (Exports) (Tonnes)","2001","France",42741
"236","Value of External Trade (Exports) (Euro Thousand)","2001","France",95882
"237","Weight of External Trade (Exports) (Tonnes)","2002","France",44465
"238","Value of External Trade (Exports) (Euro Thousand)","2002","France",96056
"239","Weight of External Trade (Exports) (Tonnes)","2003","France",42334
"240","Value of External Trade (Exports) (Euro Thousand)","2003","France",91118
"241","Weight of External Trade (Exports) (Tonnes)","2004","France",33498
"242","Value of External Trade (Exports) (Euro Thousand)","2004","France",87507
"243","Weight of External Trade (Exports) (Tonnes)","1994","Germany",33785
"244","Value of External Trade (Exports) (Euro Thousand)","1994","Germany",23013
"245","Weight of External Trade (Exports) (Tonnes)","1995","Germany",29072
"246","Value of External Trade (Exports) (Euro Thousand)","1995","Germany",25187
"247","Weight of External Trade (Exports) (Tonnes)","1996","Germany",43343
"248","Value of External Trade (Exports) (Euro Thousand)","1996","Germany",32441
"249","Weight of External Trade (Exports) (Tonnes)","1997","Germany",29718
"250","Value of External Trade (Exports) (Euro Thousand)","1997","Germany",26645
"251","Weight of External Trade (Exports) (Tonnes)","1998","Germany",31251
"252","Value of External Trade (Exports) (Euro Thousand)","1998","Germany",29075
"253","Weight of External Trade (Exports) (Tonnes)","1999","Germany",32002
"254","Value of External Trade (Exports) (Euro Thousand)","1999","Germany",26646
"255","Weight of External Trade (Exports) (Tonnes)","2000","Germany",28548
"256","Value of External Trade (Exports) (Euro Thousand)","2000","Germany",30525
"257","Weight of External Trade (Exports) (Tonnes)","2001","Germany",25861
"258","Value of External Trade (Exports) (Euro Thousand)","2001","Germany",37900
"259","Weight of External Trade (Exports) (Tonnes)","2002","Germany",23546
"260","Value of External Trade (Exports) (Euro Thousand)","2002","Germany",34764
"261","Weight of External Trade (Exports) (Tonnes)","2003","Germany",21264
"262","Value of External Trade (Exports) (Euro Thousand)","2003","Germany",29305
"263","Weight of External Trade (Exports) (Tonnes)","2004","Germany",24949
"264","Value of External Trade (Exports) (Euro Thousand)","2004","Germany",29303
"265","Weight of External Trade (Exports) (Tonnes)","1994","Great Britain",43257
"266","Value of External Trade (Exports) (Euro Thousand)","1994","Great Britain",23923
"267","Weight of External Trade (Exports) (Tonnes)","1995","Great Britain",34176
"268","Value of External Trade (Exports) (Euro Thousand)","1995","Great Britain",27467
"269","Weight of External Trade (Exports) (Tonnes)","1996","Great Britain",46471
"270","Value of External Trade (Exports) (Euro Thousand)","1996","Great Britain",37823
"271","Weight of External Trade (Exports) (Tonnes)","1997","Great Britain",37115
"272","Value of External Trade (Exports) (Euro Thousand)","1997","Great Britain",39140
"273","Weight of External Trade (Exports) (Tonnes)","1998","Great Britain",37383
"274","Value of External Trade (Exports) (Euro Thousand)","1998","Great Britain",42129
"275","Weight of External Trade (Exports) (Tonnes)","1999","Great Britain",25220
"276","Value of External Trade (Exports) (Euro Thousand)","1999","Great Britain",40388
"277","Weight of External Trade (Exports) (Tonnes)","2000","Great Britain",39448
"278","Value of External Trade (Exports) (Euro Thousand)","2000","Great Britain",54140
"279","Weight of External Trade (Exports) (Tonnes)","2001","Great Britain",81211
"280","Value of External Trade (Exports) (Euro Thousand)","2001","Great Britain",80101
"281","Weight of External Trade (Exports) (Tonnes)","2002","Great Britain",60662
"282","Value of External Trade (Exports) (Euro Thousand)","2002","Great Britain",68314
"283","Weight of External Trade (Exports) (Tonnes)","2003","Great Britain",52823
"284","Value of External Trade (Exports) (Euro Thousand)","2003","Great Britain",56488
"285","Weight of External Trade (Exports) (Tonnes)","2004","Great Britain",53792
"286","Value of External Trade (Exports) (Euro Thousand)","2004","Great Britain",64214
"287","Weight of External Trade (Exports) (Tonnes)","1994","Greece",828
"288","Value of External Trade (Exports) (Euro Thousand)","1994","Greece",579
"289","Weight of External Trade (Exports) (Tonnes)","1995","Greece",1082
"290","Value of External Trade (Exports) (Euro Thousand)","1995","Greece",777
"291","Weight of External Trade (Exports) (Tonnes)","1996","Greece",878
"292","Value of External Trade (Exports) (Euro Thousand)","1996","Greece",852
"293","Weight of External Trade (Exports) (Tonnes)","1997","Greece",410
"294","Value of External Trade (Exports) (Euro Thousand)","1997","Greece",451
"295","Weight of External Trade (Exports) (Tonnes)","1998","Greece",231
"296","Value of External Trade (Exports) (Euro Thousand)","1998","Greece",315
"297","Weight of External Trade (Exports) (Tonnes)","1999","Greece",91
"298","Value of External Trade (Exports) (Euro Thousand)","1999","Greece",237
"299","Weight of External Trade (Exports) (Tonnes)","2000","Greece",202
"300","Value of External Trade (Exports) (Euro Thousand)","2000","Greece",325
