"","Statistic","Year","Port","value"
"825","Live Weight of Sea Fish Landings (Tonnes)","1999","Malin Head",815
"826","Value of Sea Fish Landings (Euro Thousand)","1999","Malin Head",1248
"827","Live Weight of Sea Fish Landings (Tonnes)","2000","Malin Head",1233
"828","Value of Sea Fish Landings (Euro Thousand)","2000","Malin Head",1320
"829","Live Weight of Sea Fish Landings (Tonnes)","2001","Malin Head",1064
"830","Value of Sea Fish Landings (Euro Thousand)","2001","Malin Head",1497
"831","Live Weight of Sea Fish Landings (Tonnes)","2002","Malin Head",1092
"832","Value of Sea Fish Landings (Euro Thousand)","2002","Malin Head",1396
"833","Live Weight of Sea Fish Landings (Tonnes)","2003","Malin Head",1665
"834","Value of Sea Fish Landings (Euro Thousand)","2003","Malin Head",2054
"835","Live Weight of Sea Fish Landings (Tonnes)","2004","Malin Head",1561
"836","Value of Sea Fish Landings (Euro Thousand)","2004","Malin Head",2021
"837","Live Weight of Sea Fish Landings (Tonnes)","1994","Moville",74
"838","Value of Sea Fish Landings (Euro Thousand)","1994","Moville",83
"839","Live Weight of Sea Fish Landings (Tonnes)","1995","Moville",822
"840","Value of Sea Fish Landings (Euro Thousand)","1995","Moville",359
"841","Live Weight of Sea Fish Landings (Tonnes)","1996","Moville",1828
"842","Value of Sea Fish Landings (Euro Thousand)","1996","Moville",668
"843","Live Weight of Sea Fish Landings (Tonnes)","1997","Moville",2524
"844","Value of Sea Fish Landings (Euro Thousand)","1997","Moville",700
"845","Live Weight of Sea Fish Landings (Tonnes)","1998","Moville",260
"846","Value of Sea Fish Landings (Euro Thousand)","1998","Moville",167
"847","Live Weight of Sea Fish Landings (Tonnes)","1999","Moville",330
"848","Value of Sea Fish Landings (Euro Thousand)","1999","Moville",210
"849","Live Weight of Sea Fish Landings (Tonnes)","2000","Moville",340
"850","Value of Sea Fish Landings (Euro Thousand)","2000","Moville",345
"851","Live Weight of Sea Fish Landings (Tonnes)","2001","Moville",326
"852","Value of Sea Fish Landings (Euro Thousand)","2001","Moville",420
"853","Live Weight of Sea Fish Landings (Tonnes)","2002","Moville",758
"854","Value of Sea Fish Landings (Euro Thousand)","2002","Moville",770
"855","Live Weight of Sea Fish Landings (Tonnes)","2003","Moville",643
"856","Value of Sea Fish Landings (Euro Thousand)","2003","Moville",827
"857","Live Weight of Sea Fish Landings (Tonnes)","2004","Moville",167
"858","Value of Sea Fish Landings (Euro Thousand)","2004","Moville",201
"859","Live Weight of Sea Fish Landings (Tonnes)","1994","Portmagee",NA
"860","Value of Sea Fish Landings (Euro Thousand)","1994","Portmagee",NA
"861","Live Weight of Sea Fish Landings (Tonnes)","1995","Portmagee",NA
"862","Value of Sea Fish Landings (Euro Thousand)","1995","Portmagee",NA
"863","Live Weight of Sea Fish Landings (Tonnes)","1996","Portmagee",NA
"864","Value of Sea Fish Landings (Euro Thousand)","1996","Portmagee",NA
"865","Live Weight of Sea Fish Landings (Tonnes)","1997","Portmagee",695
"866","Value of Sea Fish Landings (Euro Thousand)","1997","Portmagee",1401
"867","Live Weight of Sea Fish Landings (Tonnes)","1998","Portmagee",610
"868","Value of Sea Fish Landings (Euro Thousand)","1998","Portmagee",1122
"869","Live Weight of Sea Fish Landings (Tonnes)","1999","Portmagee",438
"870","Value of Sea Fish Landings (Euro Thousand)","1999","Portmagee",1283
"871","Live Weight of Sea Fish Landings (Tonnes)","2000","Portmagee",426
"872","Value of Sea Fish Landings (Euro Thousand)","2000","Portmagee",1268
"873","Live Weight of Sea Fish Landings (Tonnes)","2001","Portmagee",436
"874","Value of Sea Fish Landings (Euro Thousand)","2001","Portmagee",1288
"875","Live Weight of Sea Fish Landings (Tonnes)","2002","Portmagee",375
"876","Value of Sea Fish Landings (Euro Thousand)","2002","Portmagee",1538
"877","Live Weight of Sea Fish Landings (Tonnes)","2003","Portmagee",361
"878","Value of Sea Fish Landings (Euro Thousand)","2003","Portmagee",844
"879","Live Weight of Sea Fish Landings (Tonnes)","2004","Portmagee",357
"880","Value of Sea Fish Landings (Euro Thousand)","2004","Portmagee",1190
"881","Live Weight of Sea Fish Landings (Tonnes)","1994","Rathmullan",50884
"882","Value of Sea Fish Landings (Euro Thousand)","1994","Rathmullan",6664
"883","Live Weight of Sea Fish Landings (Tonnes)","1995","Rathmullan",51993
"884","Value of Sea Fish Landings (Euro Thousand)","1995","Rathmullan",5210
"885","Live Weight of Sea Fish Landings (Tonnes)","1996","Rathmullan",27882
"886","Value of Sea Fish Landings (Euro Thousand)","1996","Rathmullan",4497
"887","Live Weight of Sea Fish Landings (Tonnes)","1997","Rathmullan",8564
"888","Value of Sea Fish Landings (Euro Thousand)","1997","Rathmullan",2504
"889","Live Weight of Sea Fish Landings (Tonnes)","1998","Rathmullan",15618
"890","Value of Sea Fish Landings (Euro Thousand)","1998","Rathmullan",3098
"891","Live Weight of Sea Fish Landings (Tonnes)","1999","Rathmullan",13276
"892","Value of Sea Fish Landings (Euro Thousand)","1999","Rathmullan",5312
"893","Live Weight of Sea Fish Landings (Tonnes)","2000","Rathmullan",15369
"894","Value of Sea Fish Landings (Euro Thousand)","2000","Rathmullan",4018
"895","Live Weight of Sea Fish Landings (Tonnes)","2001","Rathmullan",11532
"896","Value of Sea Fish Landings (Euro Thousand)","2001","Rathmullan",4639
"897","Live Weight of Sea Fish Landings (Tonnes)","2002","Rathmullan",5966
"898","Value of Sea Fish Landings (Euro Thousand)","2002","Rathmullan",1632
"899","Live Weight of Sea Fish Landings (Tonnes)","2003","Rathmullan",6134
"900","Value of Sea Fish Landings (Euro Thousand)","2003","Rathmullan",1725
"901","Live Weight of Sea Fish Landings (Tonnes)","2004","Rathmullan",2213
"902","Value of Sea Fish Landings (Euro Thousand)","2004","Rathmullan",837
"903","Live Weight of Sea Fish Landings (Tonnes)","1994","Rossaveal",9182
"904","Value of Sea Fish Landings (Euro Thousand)","1994","Rossaveal",7635
"905","Live Weight of Sea Fish Landings (Tonnes)","1995","Rossaveal",7376
"906","Value of Sea Fish Landings (Euro Thousand)","1995","Rossaveal",6985
"907","Live Weight of Sea Fish Landings (Tonnes)","1996","Rossaveal",7046
"908","Value of Sea Fish Landings (Euro Thousand)","1996","Rossaveal",5850
"909","Live Weight of Sea Fish Landings (Tonnes)","1997","Rossaveal",9142
"910","Value of Sea Fish Landings (Euro Thousand)","1997","Rossaveal",5979
"911","Live Weight of Sea Fish Landings (Tonnes)","1998","Rossaveal",6566
"912","Value of Sea Fish Landings (Euro Thousand)","1998","Rossaveal",6347
"913","Live Weight of Sea Fish Landings (Tonnes)","1999","Rossaveal",6412
"914","Value of Sea Fish Landings (Euro Thousand)","1999","Rossaveal",9194
"915","Live Weight of Sea Fish Landings (Tonnes)","2000","Rossaveal",10353
"916","Value of Sea Fish Landings (Euro Thousand)","2000","Rossaveal",10058
"917","Live Weight of Sea Fish Landings (Tonnes)","2001","Rossaveal",10447
"918","Value of Sea Fish Landings (Euro Thousand)","2001","Rossaveal",16657
"919","Live Weight of Sea Fish Landings (Tonnes)","2002","Rossaveal",11760
"920","Value of Sea Fish Landings (Euro Thousand)","2002","Rossaveal",14454
"921","Live Weight of Sea Fish Landings (Tonnes)","2003","Rossaveal",7883
"922","Value of Sea Fish Landings (Euro Thousand)","2003","Rossaveal",9064
"923","Live Weight of Sea Fish Landings (Tonnes)","2004","Rossaveal",5476
"924","Value of Sea Fish Landings (Euro Thousand)","2004","Rossaveal",8605
"925","Live Weight of Sea Fish Landings (Tonnes)","1994","Schull",759
"926","Value of Sea Fish Landings (Euro Thousand)","1994","Schull",1096
"927","Live Weight of Sea Fish Landings (Tonnes)","1995","Schull",995
"928","Value of Sea Fish Landings (Euro Thousand)","1995","Schull",1611
"929","Live Weight of Sea Fish Landings (Tonnes)","1996","Schull",977
"930","Value of Sea Fish Landings (Euro Thousand)","1996","Schull",1517
"931","Live Weight of Sea Fish Landings (Tonnes)","1997","Schull",1020
"932","Value of Sea Fish Landings (Euro Thousand)","1997","Schull",1527
"933","Live Weight of Sea Fish Landings (Tonnes)","1998","Schull",1286
"934","Value of Sea Fish Landings (Euro Thousand)","1998","Schull",2124
"935","Live Weight of Sea Fish Landings (Tonnes)","1999","Schull",1531
"936","Value of Sea Fish Landings (Euro Thousand)","1999","Schull",2594
"937","Live Weight of Sea Fish Landings (Tonnes)","2000","Schull",1236
"938","Value of Sea Fish Landings (Euro Thousand)","2000","Schull",2138
"939","Live Weight of Sea Fish Landings (Tonnes)","2001","Schull",790
"940","Value of Sea Fish Landings (Euro Thousand)","2001","Schull",1570
"941","Live Weight of Sea Fish Landings (Tonnes)","2002","Schull",1234
"942","Value of Sea Fish Landings (Euro Thousand)","2002","Schull",2269
"943","Live Weight of Sea Fish Landings (Tonnes)","2003","Schull",699
"944","Value of Sea Fish Landings (Euro Thousand)","2003","Schull",1611
"945","Live Weight of Sea Fish Landings (Tonnes)","2004","Schull",762
"946","Value of Sea Fish Landings (Euro Thousand)","2004","Schull",1774
"947","Live Weight of Sea Fish Landings (Tonnes)","1994","Skerries",1341
"948","Value of Sea Fish Landings (Euro Thousand)","1994","Skerries",2067
"949","Live Weight of Sea Fish Landings (Tonnes)","1995","Skerries",1503
"950","Value of Sea Fish Landings (Euro Thousand)","1995","Skerries",2233
"951","Live Weight of Sea Fish Landings (Tonnes)","1996","Skerries",1051
"952","Value of Sea Fish Landings (Euro Thousand)","1996","Skerries",1635
"953","Live Weight of Sea Fish Landings (Tonnes)","1997","Skerries",1050
"954","Value of Sea Fish Landings (Euro Thousand)","1997","Skerries",1972
"955","Live Weight of Sea Fish Landings (Tonnes)","1998","Skerries",1016
"956","Value of Sea Fish Landings (Euro Thousand)","1998","Skerries",1957
"957","Live Weight of Sea Fish Landings (Tonnes)","1999","Skerries",1657
"958","Value of Sea Fish Landings (Euro Thousand)","1999","Skerries",2815
"959","Live Weight of Sea Fish Landings (Tonnes)","2000","Skerries",1022
"960","Value of Sea Fish Landings (Euro Thousand)","2000","Skerries",2217
"961","Live Weight of Sea Fish Landings (Tonnes)","2001","Skerries",685
"962","Value of Sea Fish Landings (Euro Thousand)","2001","Skerries",1535
"963","Live Weight of Sea Fish Landings (Tonnes)","2002","Skerries",434
"964","Value of Sea Fish Landings (Euro Thousand)","2002","Skerries",1856
"965","Live Weight of Sea Fish Landings (Tonnes)","2003","Skerries",732
"966","Value of Sea Fish Landings (Euro Thousand)","2003","Skerries",1999
"967","Live Weight of Sea Fish Landings (Tonnes)","2004","Skerries",886
"968","Value of Sea Fish Landings (Euro Thousand)","2004","Skerries",2482
"969","Live Weight of Sea Fish Landings (Tonnes)","1994","Union Hall",1421
"970","Value of Sea Fish Landings (Euro Thousand)","1994","Union Hall",2359
"971","Live Weight of Sea Fish Landings (Tonnes)","1995","Union Hall",2262
"972","Value of Sea Fish Landings (Euro Thousand)","1995","Union Hall",3244
"973","Live Weight of Sea Fish Landings (Tonnes)","1996","Union Hall",3670
"974","Value of Sea Fish Landings (Euro Thousand)","1996","Union Hall",4276
"975","Live Weight of Sea Fish Landings (Tonnes)","1997","Union Hall",2912
"976","Value of Sea Fish Landings (Euro Thousand)","1997","Union Hall",4086
"977","Live Weight of Sea Fish Landings (Tonnes)","1998","Union Hall",3168
"978","Value of Sea Fish Landings (Euro Thousand)","1998","Union Hall",4058
"979","Live Weight of Sea Fish Landings (Tonnes)","1999","Union Hall",4367
"980","Value of Sea Fish Landings (Euro Thousand)","1999","Union Hall",6238
"981","Live Weight of Sea Fish Landings (Tonnes)","2000","Union Hall",2579
"982","Value of Sea Fish Landings (Euro Thousand)","2000","Union Hall",4954
"983","Live Weight of Sea Fish Landings (Tonnes)","2001","Union Hall",1284
"984","Value of Sea Fish Landings (Euro Thousand)","2001","Union Hall",2738
"985","Live Weight of Sea Fish Landings (Tonnes)","2002","Union Hall",2381
"986","Value of Sea Fish Landings (Euro Thousand)","2002","Union Hall",4046
"987","Live Weight of Sea Fish Landings (Tonnes)","2003","Union Hall",1969
"988","Value of Sea Fish Landings (Euro Thousand)","2003","Union Hall",3931
"989","Live Weight of Sea Fish Landings (Tonnes)","2004","Union Hall",1937
"990","Value of Sea Fish Landings (Euro Thousand)","2004","Union Hall",3605
"991","Live Weight of Sea Fish Landings (Tonnes)","1994","Valentia",977
"992","Value of Sea Fish Landings (Euro Thousand)","1994","Valentia",2009
"993","Live Weight of Sea Fish Landings (Tonnes)","1995","Valentia",1202
"994","Value of Sea Fish Landings (Euro Thousand)","1995","Valentia",2319
"995","Live Weight of Sea Fish Landings (Tonnes)","1996","Valentia",1233
"996","Value of Sea Fish Landings (Euro Thousand)","1996","Valentia",2600
"997","Live Weight of Sea Fish Landings (Tonnes)","1997","Valentia",989
"998","Value of Sea Fish Landings (Euro Thousand)","1997","Valentia",2032
"999","Live Weight of Sea Fish Landings (Tonnes)","1998","Valentia",649
"1000","Value of Sea Fish Landings (Euro Thousand)","1998","Valentia",1460
"1001","Live Weight of Sea Fish Landings (Tonnes)","1999","Valentia",804
"1002","Value of Sea Fish Landings (Euro Thousand)","1999","Valentia",1924
"1003","Live Weight of Sea Fish Landings (Tonnes)","2000","Valentia",693
"1004","Value of Sea Fish Landings (Euro Thousand)","2000","Valentia",1315
"1005","Live Weight of Sea Fish Landings (Tonnes)","2001","Valentia",874
"1006","Value of Sea Fish Landings (Euro Thousand)","2001","Valentia",2184
"1007","Live Weight of Sea Fish Landings (Tonnes)","2002","Valentia",534
"1008","Value of Sea Fish Landings (Euro Thousand)","2002","Valentia",1398
"1009","Live Weight of Sea Fish Landings (Tonnes)","2003","Valentia",355
"1010","Value of Sea Fish Landings (Euro Thousand)","2003","Valentia",829
"1011","Live Weight of Sea Fish Landings (Tonnes)","2004","Valentia",403
"1012","Value of Sea Fish Landings (Euro Thousand)","2004","Valentia",982
"1013","Live Weight of Sea Fish Landings (Tonnes)","1994","Wexford",1015
"1014","Value of Sea Fish Landings (Euro Thousand)","1994","Wexford",629
"1015","Live Weight of Sea Fish Landings (Tonnes)","1995","Wexford",2786
"1016","Value of Sea Fish Landings (Euro Thousand)","1995","Wexford",1793
"1017","Live Weight of Sea Fish Landings (Tonnes)","1996","Wexford",1456
"1018","Value of Sea Fish Landings (Euro Thousand)","1996","Wexford",1112
"1019","Live Weight of Sea Fish Landings (Tonnes)","1997","Wexford",899
"1020","Value of Sea Fish Landings (Euro Thousand)","1997","Wexford",724
"1021","Live Weight of Sea Fish Landings (Tonnes)","1998","Wexford",181
"1022","Value of Sea Fish Landings (Euro Thousand)","1998","Wexford",153
"1023","Live Weight of Sea Fish Landings (Tonnes)","1999","Wexford",168
"1024","Value of Sea Fish Landings (Euro Thousand)","1999","Wexford",85
"1025","Live Weight of Sea Fish Landings (Tonnes)","2000","Wexford",266
"1026","Value of Sea Fish Landings (Euro Thousand)","2000","Wexford",203
"1027","Live Weight of Sea Fish Landings (Tonnes)","2001","Wexford",251
"1028","Value of Sea Fish Landings (Euro Thousand)","2001","Wexford",202
"1029","Live Weight of Sea Fish Landings (Tonnes)","2002","Wexford",209
"1030","Value of Sea Fish Landings (Euro Thousand)","2002","Wexford",151
"1031","Live Weight of Sea Fish Landings (Tonnes)","2003","Wexford",390
"1032","Value of Sea Fish Landings (Euro Thousand)","2003","Wexford",150
"1033","Live Weight of Sea Fish Landings (Tonnes)","2004","Wexford",288
"1034","Value of Sea Fish Landings (Euro Thousand)","2004","Wexford",112
"1035","Live Weight of Sea Fish Landings (Tonnes)","1994","Wicklow",NA
"1036","Value of Sea Fish Landings (Euro Thousand)","1994","Wicklow",NA
"1037","Live Weight of Sea Fish Landings (Tonnes)","1995","Wicklow",NA
"1038","Value of Sea Fish Landings (Euro Thousand)","1995","Wicklow",NA
"1039","Live Weight of Sea Fish Landings (Tonnes)","1996","Wicklow",NA
"1040","Value of Sea Fish Landings (Euro Thousand)","1996","Wicklow",NA
"1041","Live Weight of Sea Fish Landings (Tonnes)","1997","Wicklow",0
"1042","Value of Sea Fish Landings (Euro Thousand)","1997","Wicklow",0
"1043","Live Weight of Sea Fish Landings (Tonnes)","1998","Wicklow",1866
"1044","Value of Sea Fish Landings (Euro Thousand)","1998","Wicklow",1099
"1045","Live Weight of Sea Fish Landings (Tonnes)","1999","Wicklow",2390
"1046","Value of Sea Fish Landings (Euro Thousand)","1999","Wicklow",1366
"1047","Live Weight of Sea Fish Landings (Tonnes)","2000","Wicklow",2211
"1048","Value of Sea Fish Landings (Euro Thousand)","2000","Wicklow",1541
"1049","Live Weight of Sea Fish Landings (Tonnes)","2001","Wicklow",4455
"1050","Value of Sea Fish Landings (Euro Thousand)","2001","Wicklow",3890
"1051","Live Weight of Sea Fish Landings (Tonnes)","2002","Wicklow",6241
"1052","Value of Sea Fish Landings (Euro Thousand)","2002","Wicklow",3988
"1053","Live Weight of Sea Fish Landings (Tonnes)","2003","Wicklow",5344
"1054","Value of Sea Fish Landings (Euro Thousand)","2003","Wicklow",3717
"1055","Live Weight of Sea Fish Landings (Tonnes)","2004","Wicklow",5005
"1056","Value of Sea Fish Landings (Euro Thousand)","2004","Wicklow",2002
"1057","Live Weight of Sea Fish Landings (Tonnes)","1994","Other Ports",NA
"1058","Value of Sea Fish Landings (Euro Thousand)","1994","Other Ports",NA
"1059","Live Weight of Sea Fish Landings (Tonnes)","1995","Other Ports",NA
"1060","Value of Sea Fish Landings (Euro Thousand)","1995","Other Ports",NA
"1061","Live Weight of Sea Fish Landings (Tonnes)","1996","Other Ports",NA
"1062","Value of Sea Fish Landings (Euro Thousand)","1996","Other Ports",NA
"1063","Live Weight of Sea Fish Landings (Tonnes)","1997","Other Ports",NA
"1064","Value of Sea Fish Landings (Euro Thousand)","1997","Other Ports",NA
"1065","Live Weight of Sea Fish Landings (Tonnes)","1998","Other Ports",7752
"1066","Value of Sea Fish Landings (Euro Thousand)","1998","Other Ports",13004
"1067","Live Weight of Sea Fish Landings (Tonnes)","1999","Other Ports",10029
"1068","Value of Sea Fish Landings (Euro Thousand)","1999","Other Ports",16289
"1069","Live Weight of Sea Fish Landings (Tonnes)","2000","Other Ports",9303
"1070","Value of Sea Fish Landings (Euro Thousand)","2000","Other Ports",17460
"1071","Live Weight of Sea Fish Landings (Tonnes)","2001","Other Ports",10024
"1072","Value of Sea Fish Landings (Euro Thousand)","2001","Other Ports",26464
"1073","Live Weight of Sea Fish Landings (Tonnes)","2002","Other Ports",10904
"1074","Value of Sea Fish Landings (Euro Thousand)","2002","Other Ports",19193
"1075","Live Weight of Sea Fish Landings (Tonnes)","2003","Other Ports",11900
"1076","Value of Sea Fish Landings (Euro Thousand)","2003","Other Ports",21590
"1077","Live Weight of Sea Fish Landings (Tonnes)","2004","Other Ports",13718
"1078","Value of Sea Fish Landings (Euro Thousand)","2004","Other Ports",26037
"1079","Live Weight of Sea Fish Landings (Tonnes)","1994","Foreign Ports",36423
"1080","Value of Sea Fish Landings (Euro Thousand)","1994","Foreign Ports",9721
"1081","Live Weight of Sea Fish Landings (Tonnes)","1995","Foreign Ports",46294
"1082","Value of Sea Fish Landings (Euro Thousand)","1995","Foreign Ports",15640
"1083","Live Weight of Sea Fish Landings (Tonnes)","1996","Foreign Ports",52589
"1084","Value of Sea Fish Landings (Euro Thousand)","1996","Foreign Ports",20604
"1085","Live Weight of Sea Fish Landings (Tonnes)","1997","Foreign Ports",67407
"1086","Value of Sea Fish Landings (Euro Thousand)","1997","Foreign Ports",18462
"1087","Live Weight of Sea Fish Landings (Tonnes)","1998","Foreign Ports",94306
"1088","Value of Sea Fish Landings (Euro Thousand)","1998","Foreign Ports",42231
"1089","Live Weight of Sea Fish Landings (Tonnes)","1999","Foreign Ports",72550
"1090","Value of Sea Fish Landings (Euro Thousand)","1999","Foreign Ports",28326
"1091","Live Weight of Sea Fish Landings (Tonnes)","2000","Foreign Ports",75679
"1092","Value of Sea Fish Landings (Euro Thousand)","2000","Foreign Ports",33946
"1093","Live Weight of Sea Fish Landings (Tonnes)","2001","Foreign Ports",79775
"1094","Value of Sea Fish Landings (Euro Thousand)","2001","Foreign Ports",45136
"1095","Live Weight of Sea Fish Landings (Tonnes)","2002","Foreign Ports",68802
"1096","Value of Sea Fish Landings (Euro Thousand)","2002","Foreign Ports",35783
"1097","Live Weight of Sea Fish Landings (Tonnes)","2003","Foreign Ports",91985
"1098","Value of Sea Fish Landings (Euro Thousand)","2003","Foreign Ports",34330
"1099","Live Weight of Sea Fish Landings (Tonnes)","2004","Foreign Ports",120040
"1100","Value of Sea Fish Landings (Euro Thousand)","2004","Foreign Ports",40259
