"","Type.of.Milk","Month","value"
"531","All Milk","1988M11",41
"532","Whole Milk","1988M11",37.6
"533","Skimmed and Semi-skimmed milk","1988M11",NA
"534","Skimmed Milk","1988M11",0.4
"535","Semi-skimmed milk","1988M11",3
"536","All Milk","1988M12",41.6
"537","Whole Milk","1988M12",38.1
"538","Skimmed and Semi-skimmed milk","1988M12",NA
"539","Skimmed Milk","1988M12",0.3
"540","Semi-skimmed milk","1988M12",3.1
"541","All Milk","1989M01",40.8
"542","Whole Milk","1989M01",37.4
"543","Skimmed and Semi-skimmed milk","1989M01",NA
"544","Skimmed Milk","1989M01",0.4
"545","Semi-skimmed milk","1989M01",3
"546","All Milk","1989M02",38.5
"547","Whole Milk","1989M02",35.2
"548","Skimmed and Semi-skimmed milk","1989M02",NA
"549","Skimmed Milk","1989M02",0.4
"550","Semi-skimmed milk","1989M02",3
"551","All Milk","1989M03",43.2
"552","Whole Milk","1989M03",39.3
"553","Skimmed and Semi-skimmed milk","1989M03",NA
"554","Skimmed Milk","1989M03",0.4
"555","Semi-skimmed milk","1989M03",3.5
"556","All Milk","1989M04",40.4
"557","Whole Milk","1989M04",36.8
"558","Skimmed and Semi-skimmed milk","1989M04",NA
"559","Skimmed Milk","1989M04",0.4
"560","Semi-skimmed milk","1989M04",3.3
"561","All Milk","1989M05",41.8
"562","Whole Milk","1989M05",38
"563","Skimmed and Semi-skimmed milk","1989M05",NA
"564","Skimmed Milk","1989M05",0.4
"565","Semi-skimmed milk","1989M05",3.4
"566","All Milk","1989M06",42.9
"567","Whole Milk","1989M06",38.9
"568","Skimmed and Semi-skimmed milk","1989M06",NA
"569","Skimmed Milk","1989M06",0.4
"570","Semi-skimmed milk","1989M06",3.5
"571","All Milk","1989M07",41.7
"572","Whole Milk","1989M07",38.1
"573","Skimmed and Semi-skimmed milk","1989M07",NA
"574","Skimmed Milk","1989M07",0.4
"575","Semi-skimmed milk","1989M07",3.3
"576","All Milk","1989M08",42
"577","Whole Milk","1989M08",38.3
"578","Skimmed and Semi-skimmed milk","1989M08",NA
"579","Skimmed Milk","1989M08",0.4
"580","Semi-skimmed milk","1989M08",3.3
"581","All Milk","1989M09",43.6
"582","Whole Milk","1989M09",39.5
"583","Skimmed and Semi-skimmed milk","1989M09",NA
"584","Skimmed Milk","1989M09",0.4
"585","Semi-skimmed milk","1989M09",3.7
"586","All Milk","1989M10",41.2
"587","Whole Milk","1989M10",37.2
"588","Skimmed and Semi-skimmed milk","1989M10",NA
"589","Skimmed Milk","1989M10",0.4
"590","Semi-skimmed milk","1989M10",3.6
"591","All Milk","1989M11",40
"592","Whole Milk","1989M11",36.2
"593","Skimmed and Semi-skimmed milk","1989M11",NA
"594","Skimmed Milk","1989M11",0.4
"595","Semi-skimmed milk","1989M11",3.5
"596","All Milk","1989M12",42.4
"597","Whole Milk","1989M12",38.3
"598","Skimmed and Semi-skimmed milk","1989M12",NA
"599","Skimmed Milk","1989M12",0.4
"600","Semi-skimmed milk","1989M12",3.7
"601","All Milk","1990M01",40.2
"602","Whole Milk","1990M01",36.3
"603","Skimmed and Semi-skimmed milk","1990M01",NA
"604","Skimmed Milk","1990M01",0.4
"605","Semi-skimmed milk","1990M01",3.5
"606","All Milk","1990M02",38.7
"607","Whole Milk","1990M02",34.9
"608","Skimmed and Semi-skimmed milk","1990M02",NA
"609","Skimmed Milk","1990M02",0.4
"610","Semi-skimmed milk","1990M02",3.5
"611","All Milk","1990M03",44.2
"612","Whole Milk","1990M03",39.7
"613","Skimmed and Semi-skimmed milk","1990M03",NA
"614","Skimmed Milk","1990M03",0.4
"615","Semi-skimmed milk","1990M03",4.1
"616","All Milk","1990M04",40.4
"617","Whole Milk","1990M04",36.4
"618","Skimmed and Semi-skimmed milk","1990M04",NA
"619","Skimmed Milk","1990M04",0.4
"620","Semi-skimmed milk","1990M04",3.6
"621","All Milk","1990M05",41.9
"622","Whole Milk","1990M05",37.6
"623","Skimmed and Semi-skimmed milk","1990M05",NA
"624","Skimmed Milk","1990M05",0.4
"625","Semi-skimmed milk","1990M05",3.9
"626","All Milk","1990M06",43.2
"627","Whole Milk","1990M06",38.8
"628","Skimmed and Semi-skimmed milk","1990M06",NA
"629","Skimmed Milk","1990M06",0.4
"630","Semi-skimmed milk","1990M06",4
"631","All Milk","1990M07",41.9
"632","Whole Milk","1990M07",37.7
"633","Skimmed and Semi-skimmed milk","1990M07",NA
"634","Skimmed Milk","1990M07",0.4
"635","Semi-skimmed milk","1990M07",3.8
"636","All Milk","1990M08",42.3
"637","Whole Milk","1990M08",38.1
"638","Skimmed and Semi-skimmed milk","1990M08",NA
"639","Skimmed Milk","1990M08",0.4
"640","Semi-skimmed milk","1990M08",3.8
"641","All Milk","1990M09",43.6
"642","Whole Milk","1990M09",39
"643","Skimmed and Semi-skimmed milk","1990M09",NA
"644","Skimmed Milk","1990M09",0.4
"645","Semi-skimmed milk","1990M09",4.2
"646","All Milk","1990M10",42.1
"647","Whole Milk","1990M10",37.6
"648","Skimmed and Semi-skimmed milk","1990M10",NA
"649","Skimmed Milk","1990M10",0.4
"650","Semi-skimmed milk","1990M10",4.1
"651","All Milk","1990M11",40.6
"652","Whole Milk","1990M11",36.2
"653","Skimmed and Semi-skimmed milk","1990M11",NA
"654","Skimmed Milk","1990M11",0.4
"655","Semi-skimmed milk","1990M11",4
"656","All Milk","1990M12",40.8
"657","Whole Milk","1990M12",36.6
"658","Skimmed and Semi-skimmed milk","1990M12",NA
"659","Skimmed Milk","1990M12",0.4
"660","Semi-skimmed milk","1990M12",3.8
"661","All Milk","1991M01",40.8
"662","Whole Milk","1991M01",36.4
"663","Skimmed and Semi-skimmed milk","1991M01",NA
"664","Skimmed Milk","1991M01",0.4
"665","Semi-skimmed milk","1991M01",4
"666","All Milk","1991M02",39.3
"667","Whole Milk","1991M02",35
"668","Skimmed and Semi-skimmed milk","1991M02",NA
"669","Skimmed Milk","1991M02",0.4
"670","Semi-skimmed milk","1991M02",3.9
"671","All Milk","1991M03",44
"672","Whole Milk","1991M03",39.1
"673","Skimmed and Semi-skimmed milk","1991M03",NA
"674","Skimmed Milk","1991M03",0.5
"675","Semi-skimmed milk","1991M03",4.4
"676","All Milk","1991M04",41
"677","Whole Milk","1991M04",36.5
"678","Skimmed and Semi-skimmed milk","1991M04",NA
"679","Skimmed Milk","1991M04",0.4
"680","Semi-skimmed milk","1991M04",4.1
"681","All Milk","1991M05",42.5
"682","Whole Milk","1991M05",37.8
"683","Skimmed and Semi-skimmed milk","1991M05",NA
"684","Skimmed Milk","1991M05",0.4
"685","Semi-skimmed milk","1991M05",4.3
"686","All Milk","1991M06",44
"687","Whole Milk","1991M06",39.3
"688","Skimmed and Semi-skimmed milk","1991M06",NA
"689","Skimmed Milk","1991M06",0.4
"690","Semi-skimmed milk","1991M06",4.3
"691","All Milk","1991M07",42.3
"692","Whole Milk","1991M07",37.6
"693","Skimmed and Semi-skimmed milk","1991M07",NA
"694","Skimmed Milk","1991M07",0.4
"695","Semi-skimmed milk","1991M07",4.3
"696","All Milk","1991M08",42.3
"697","Whole Milk","1991M08",37.7
"698","Skimmed and Semi-skimmed milk","1991M08",NA
"699","Skimmed Milk","1991M08",0.4
"700","Semi-skimmed milk","1991M08",4.2
"701","All Milk","1991M09",43.5
"702","Whole Milk","1991M09",38.4
"703","Skimmed and Semi-skimmed milk","1991M09",NA
"704","Skimmed Milk","1991M09",0.4
"705","Semi-skimmed milk","1991M09",4.7
"706","All Milk","1991M10",41.7
"707","Whole Milk","1991M10",36.8
"708","Skimmed and Semi-skimmed milk","1991M10",NA
"709","Skimmed Milk","1991M10",0.4
"710","Semi-skimmed milk","1991M10",4.5
"711","All Milk","1991M11",41
"712","Whole Milk","1991M11",36.1
"713","Skimmed and Semi-skimmed milk","1991M11",NA
"714","Skimmed Milk","1991M11",0.4
"715","Semi-skimmed milk","1991M11",4.5
"716","All Milk","1991M12",43.1
"717","Whole Milk","1991M12",37.9
"718","Skimmed and Semi-skimmed milk","1991M12",NA
"719","Skimmed Milk","1991M12",0.4
"720","Semi-skimmed milk","1991M12",4.8
"721","All Milk","1992M01",43.3
"722","Whole Milk","1992M01",37.2
"723","Skimmed and Semi-skimmed milk","1992M01",6.1
"724","Skimmed Milk","1992M01",0.5
"725","Semi-skimmed milk","1992M01",5.5
"726","All Milk","1992M02",41.3
"727","Whole Milk","1992M02",35.3
"728","Skimmed and Semi-skimmed milk","1992M02",6
"729","Skimmed Milk","1992M02",0.6
"730","Semi-skimmed milk","1992M02",5.5
"731","All Milk","1992M03",46.6
"732","Whole Milk","1992M03",39.5
"733","Skimmed and Semi-skimmed milk","1992M03",7.1
"734","Skimmed Milk","1992M03",0.6
"735","Semi-skimmed milk","1992M03",6.4
"736","All Milk","1992M04",42.4
"737","Whole Milk","1992M04",36
"738","Skimmed and Semi-skimmed milk","1992M04",6.4
"739","Skimmed Milk","1992M04",0.5
"740","Semi-skimmed milk","1992M04",5.9
"741","All Milk","1992M05",43.6
"742","Whole Milk","1992M05",37.1
"743","Skimmed and Semi-skimmed milk","1992M05",6.6
"744","Skimmed Milk","1992M05",0.6
"745","Semi-skimmed milk","1992M05",6
"746","All Milk","1992M06",44.5
"747","Whole Milk","1992M06",37.9
"748","Skimmed and Semi-skimmed milk","1992M06",6.6
"749","Skimmed Milk","1992M06",0.6
"750","Semi-skimmed milk","1992M06",6
"751","All Milk","1992M07",43.4
"752","Whole Milk","1992M07",37.1
"753","Skimmed and Semi-skimmed milk","1992M07",6.3
"754","Skimmed Milk","1992M07",0.5
"755","Semi-skimmed milk","1992M07",5.8
"756","All Milk","1992M08",43.5
"757","Whole Milk","1992M08",37.3
"758","Skimmed and Semi-skimmed milk","1992M08",6.2
"759","Skimmed Milk","1992M08",0.5
"760","Semi-skimmed milk","1992M08",5.7
"761","All Milk","1992M09",45.8
"762","Whole Milk","1992M09",38.9
"763","Skimmed and Semi-skimmed milk","1992M09",6.9
"764","Skimmed Milk","1992M09",0.6
"765","Semi-skimmed milk","1992M09",6.3
"766","All Milk","1992M10",43.5
"767","Whole Milk","1992M10",37
"768","Skimmed and Semi-skimmed milk","1992M10",6.5
"769","Skimmed Milk","1992M10",0.6
"770","Semi-skimmed milk","1992M10",6
"771","All Milk","1992M11",42.3
"772","Whole Milk","1992M11",35.9
"773","Skimmed and Semi-skimmed milk","1992M11",6.4
"774","Skimmed Milk","1992M11",0.6
"775","Semi-skimmed milk","1992M11",5.9
"776","All Milk","1992M12",45
"777","Whole Milk","1992M12",38.2
"778","Skimmed and Semi-skimmed milk","1992M12",6.9
"779","Skimmed Milk","1992M12",0.5
"780","Semi-skimmed milk","1992M12",6.3
"781","All Milk","1993M01",42.1
"782","Whole Milk","1993M01",35.7
"783","Skimmed and Semi-skimmed milk","1993M01",6.4
"784","Skimmed Milk","1993M01",0.5
"785","Semi-skimmed milk","1993M01",5.9
"786","All Milk","1993M02",41
"787","Whole Milk","1993M02",34.8
"788","Skimmed and Semi-skimmed milk","1993M02",6.3
"789","Skimmed Milk","1993M02",0.6
"790","Semi-skimmed milk","1993M02",5.7
"791","All Milk","1993M03",46.8
"792","Whole Milk","1993M03",39.5
"793","Skimmed and Semi-skimmed milk","1993M03",7.3
"794","Skimmed Milk","1993M03",0.6
"795","Semi-skimmed milk","1993M03",6.7
"796","All Milk","1993M04",43.1
"797","Whole Milk","1993M04",36.4
"798","Skimmed and Semi-skimmed milk","1993M04",6.7
"799","Skimmed Milk","1993M04",0.6
"800","Semi-skimmed milk","1993M04",6.1
"801","All Milk","1993M05",43.5
"802","Whole Milk","1993M05",36.8
"803","Skimmed and Semi-skimmed milk","1993M05",6.7
"804","Skimmed Milk","1993M05",0.6
"805","Semi-skimmed milk","1993M05",6.1
"806","All Milk","1993M06",45.7
"807","Whole Milk","1993M06",38.6
"808","Skimmed and Semi-skimmed milk","1993M06",7.1
"809","Skimmed Milk","1993M06",0.6
"810","Semi-skimmed milk","1993M06",6.5
"811","All Milk","1993M07",43.8
"812","Whole Milk","1993M07",37.2
"813","Skimmed and Semi-skimmed milk","1993M07",6.6
"814","Skimmed Milk","1993M07",0.5
"815","Semi-skimmed milk","1993M07",6
"816","All Milk","1993M08",43.1
"817","Whole Milk","1993M08",36.6
"818","Skimmed and Semi-skimmed milk","1993M08",6.6
"819","Skimmed Milk","1993M08",0.5
"820","Semi-skimmed milk","1993M08",6.1
"821","All Milk","1993M09",46
"822","Whole Milk","1993M09",38.8
"823","Skimmed and Semi-skimmed milk","1993M09",7.2
"824","Skimmed Milk","1993M09",0.6
"825","Semi-skimmed milk","1993M09",6.7
"826","All Milk","1993M10",43.5
"827","Whole Milk","1993M10",36.7
"828","Skimmed and Semi-skimmed milk","1993M10",6.8
"829","Skimmed Milk","1993M10",0.5
"830","Semi-skimmed milk","1993M10",6.3
"831","All Milk","1993M11",43.5
"832","Whole Milk","1993M11",36.6
"833","Skimmed and Semi-skimmed milk","1993M11",6.9
"834","Skimmed Milk","1993M11",0.6
"835","Semi-skimmed milk","1993M11",6.3
"836","All Milk","1993M12",46.4
"837","Whole Milk","1993M12",39.2
"838","Skimmed and Semi-skimmed milk","1993M12",7.2
"839","Skimmed Milk","1993M12",0.6
"840","Semi-skimmed milk","1993M12",6.7
"841","All Milk","1994M01",42.9
"842","Whole Milk","1994M01",36.2
"843","Skimmed and Semi-skimmed milk","1994M01",6.7
"844","Skimmed Milk","1994M01",0.5
"845","Semi-skimmed milk","1994M01",6.2
"846","All Milk","1994M02",41
"847","Whole Milk","1994M02",34.5
"848","Skimmed and Semi-skimmed milk","1994M02",6.6
"849","Skimmed Milk","1994M02",0.5
"850","Semi-skimmed milk","1994M02",6
"851","All Milk","1994M03",47
"852","Whole Milk","1994M03",39.5
"853","Skimmed and Semi-skimmed milk","1994M03",7.5
"854","Skimmed Milk","1994M03",0.7
"855","Semi-skimmed milk","1994M03",6.9
"856","All Milk","1994M04",43.2
"857","Whole Milk","1994M04",36.5
"858","Skimmed and Semi-skimmed milk","1994M04",6.7
"859","Skimmed Milk","1994M04",0.6
"860","Semi-skimmed milk","1994M04",6.1
"861","All Milk","1994M05",43.4
"862","Whole Milk","1994M05",36.5
"863","Skimmed and Semi-skimmed milk","1994M05",6.9
"864","Skimmed Milk","1994M05",0.6
"865","Semi-skimmed milk","1994M05",6.3
"866","All Milk","1994M06",44.9
"867","Whole Milk","1994M06",37.9
"868","Skimmed and Semi-skimmed milk","1994M06",7
"869","Skimmed Milk","1994M06",0.7
"870","Semi-skimmed milk","1994M06",6.3
"871","All Milk","1994M07",43.7
"872","Whole Milk","1994M07",36.9
"873","Skimmed and Semi-skimmed milk","1994M07",6.9
"874","Skimmed Milk","1994M07",0.6
"875","Semi-skimmed milk","1994M07",6.3
"876","All Milk","1994M08",44
"877","Whole Milk","1994M08",37.1
"878","Skimmed and Semi-skimmed milk","1994M08",6.8
"879","Skimmed Milk","1994M08",0.6
"880","Semi-skimmed milk","1994M08",6.2
"881","All Milk","1994M09",46.4
"882","Whole Milk","1994M09",39
"883","Skimmed and Semi-skimmed milk","1994M09",7.4
"884","Skimmed Milk","1994M09",0.6
"885","Semi-skimmed milk","1994M09",6.7
"886","All Milk","1994M10",43.8
"887","Whole Milk","1994M10",36.8
"888","Skimmed and Semi-skimmed milk","1994M10",7.1
"889","Skimmed Milk","1994M10",0.6
"890","Semi-skimmed milk","1994M10",6.4
"891","All Milk","1994M11",42.4
"892","Whole Milk","1994M11",35.6
"893","Skimmed and Semi-skimmed milk","1994M11",6.9
"894","Skimmed Milk","1994M11",0.6
"895","Semi-skimmed milk","1994M11",6.2
"896","All Milk","1994M12",45.6
"897","Whole Milk","1994M12",38.1
"898","Skimmed and Semi-skimmed milk","1994M12",7.4
"899","Skimmed Milk","1994M12",0.6
"900","Semi-skimmed milk","1994M12",6.8
"901","All Milk","1995M01",41.9
"902","Whole Milk","1995M01",35.2
"903","Skimmed and Semi-skimmed milk","1995M01",6.7
"904","Skimmed Milk","1995M01",0.6
"905","Semi-skimmed milk","1995M01",6.1
"906","All Milk","1995M02",41.4
"907","Whole Milk","1995M02",34.6
"908","Skimmed and Semi-skimmed milk","1995M02",6.8
"909","Skimmed Milk","1995M02",0.7
"910","Semi-skimmed milk","1995M02",6.1
"911","All Milk","1995M03",46.7
"912","Whole Milk","1995M03",39.1
"913","Skimmed and Semi-skimmed milk","1995M03",7.7
"914","Skimmed Milk","1995M03",0.7
"915","Semi-skimmed milk","1995M03",6.9
"916","All Milk","1995M04",42.5
"917","Whole Milk","1995M04",35.6
"918","Skimmed and Semi-skimmed milk","1995M04",6.9
"919","Skimmed Milk","1995M04",0.7
"920","Semi-skimmed milk","1995M04",6.3
"921","All Milk","1995M05",44.3
"922","Whole Milk","1995M05",37.1
"923","Skimmed and Semi-skimmed milk","1995M05",7.2
"924","Skimmed Milk","1995M05",0.7
"925","Semi-skimmed milk","1995M05",6.5
"926","All Milk","1995M06",45.7
"927","Whole Milk","1995M06",38.3
"928","Skimmed and Semi-skimmed milk","1995M06",7.3
"929","Skimmed Milk","1995M06",0.7
"930","Semi-skimmed milk","1995M06",6.6
"931","All Milk","1995M07",43.8
"932","Whole Milk","1995M07",36.9
"933","Skimmed and Semi-skimmed milk","1995M07",6.9
"934","Skimmed Milk","1995M07",0.7
"935","Semi-skimmed milk","1995M07",6.2
"936","All Milk","1995M08",45.3
"937","Whole Milk","1995M08",38.2
"938","Skimmed and Semi-skimmed milk","1995M08",7.1
"939","Skimmed Milk","1995M08",0.7
"940","Semi-skimmed milk","1995M08",6.5
"941","All Milk","1995M09",46.8
"942","Whole Milk","1995M09",39.1
"943","Skimmed and Semi-skimmed milk","1995M09",7.6
"944","Skimmed Milk","1995M09",0.8
"945","Semi-skimmed milk","1995M09",6.9
"946","All Milk","1995M10",43.7
"947","Whole Milk","1995M10",36.5
"948","Skimmed and Semi-skimmed milk","1995M10",7.2
"949","Skimmed Milk","1995M10",0.8
"950","Semi-skimmed milk","1995M10",6.4
"951","All Milk","1995M11",43.6
"952","Whole Milk","1995M11",36.4
"953","Skimmed and Semi-skimmed milk","1995M11",7.1
"954","Skimmed Milk","1995M11",0.7
"955","Semi-skimmed milk","1995M11",6.4
"956","All Milk","1995M12",45.6
"957","Whole Milk","1995M12",38.1
"958","Skimmed and Semi-skimmed milk","1995M12",7.5
"959","Skimmed Milk","1995M12",0.7
"960","Semi-skimmed milk","1995M12",6.8
"961","All Milk","1996M01",42
"962","Whole Milk","1996M01",35.1
"963","Skimmed and Semi-skimmed milk","1996M01",6.9
"964","Skimmed Milk","1996M01",0.7
"965","Semi-skimmed milk","1996M01",6.2
"966","All Milk","1996M02",43.3
"967","Whole Milk","1996M02",35.9
"968","Skimmed and Semi-skimmed milk","1996M02",7.4
"969","Skimmed Milk","1996M02",0.8
"970","Semi-skimmed milk","1996M02",6.6
"971","All Milk","1996M03",46.5
"972","Whole Milk","1996M03",38.6
"973","Skimmed and Semi-skimmed milk","1996M03",7.9
"974","Skimmed Milk","1996M03",0.9
"975","Semi-skimmed milk","1996M03",7
"976","All Milk","1996M04",42.7
"977","Whole Milk","1996M04",35.5
"978","Skimmed and Semi-skimmed milk","1996M04",7.3
"979","Skimmed Milk","1996M04",0.8
"980","Semi-skimmed milk","1996M04",6.5
"981","All Milk","1996M05",45.1
"982","Whole Milk","1996M05",37.5
"983","Skimmed and Semi-skimmed milk","1996M05",7.6
"984","Skimmed Milk","1996M05",0.8
"985","Semi-skimmed milk","1996M05",6.8
"986","All Milk","1996M06",45
"987","Whole Milk","1996M06",37.5
"988","Skimmed and Semi-skimmed milk","1996M06",7.5
"989","Skimmed Milk","1996M06",0.9
"990","Semi-skimmed milk","1996M06",6.6
"991","All Milk","1996M07",44.1
"992","Whole Milk","1996M07",36.8
"993","Skimmed and Semi-skimmed milk","1996M07",7.3
"994","Skimmed Milk","1996M07",0.8
"995","Semi-skimmed milk","1996M07",6.5
"996","All Milk","1996M08",47.6
"997","Whole Milk","1996M08",39.8
"998","Skimmed and Semi-skimmed milk","1996M08",7.8
"999","Skimmed Milk","1996M08",0.8
"1000","Semi-skimmed milk","1996M08",7
"1001","All Milk","1996M09",46.7
"1002","Whole Milk","1996M09",38.8
"1003","Skimmed and Semi-skimmed milk","1996M09",7.9
"1004","Skimmed Milk","1996M09",0.9
"1005","Semi-skimmed milk","1996M09",7
"1006","All Milk","1996M10",43.6
"1007","Whole Milk","1996M10",36.1
"1008","Skimmed and Semi-skimmed milk","1996M10",7.5
"1009","Skimmed Milk","1996M10",0.8
"1010","Semi-skimmed milk","1996M10",6.7
"1011","All Milk","1996M11",43.7
"1012","Whole Milk","1996M11",36.2
"1013","Skimmed and Semi-skimmed milk","1996M11",7.5
"1014","Skimmed Milk","1996M11",0.8
"1015","Semi-skimmed milk","1996M11",6.7
"1016","All Milk","1996M12",45.6
"1017","Whole Milk","1996M12",37.8
"1018","Skimmed and Semi-skimmed milk","1996M12",7.8
"1019","Skimmed Milk","1996M12",0.8
"1020","Semi-skimmed milk","1996M12",6.9
"1021","All Milk","1997M01",43
"1022","Whole Milk","1997M01",35.7
"1023","Skimmed and Semi-skimmed milk","1997M01",7.3
"1024","Skimmed Milk","1997M01",0.8
"1025","Semi-skimmed milk","1997M01",6.5
"1026","All Milk","1997M02",41.5
"1027","Whole Milk","1997M02",34.3
"1028","Skimmed and Semi-skimmed milk","1997M02",7.2
"1029","Skimmed Milk","1997M02",0.8
"1030","Semi-skimmed milk","1997M02",6.4
"1031","All Milk","1997M03",44.6
"1032","Whole Milk","1997M03",36.9
"1033","Skimmed and Semi-skimmed milk","1997M03",7.8
"1034","Skimmed Milk","1997M03",0.9
"1035","Semi-skimmed milk","1997M03",6.9
"1036","All Milk","1997M04",44.1
"1037","Whole Milk","1997M04",36.3
"1038","Skimmed and Semi-skimmed milk","1997M04",7.8
"1039","Skimmed Milk","1997M04",0.9
"1040","Semi-skimmed milk","1997M04",6.8
"1041","All Milk","1997M05",46
"1042","Whole Milk","1997M05",37.8
"1043","Skimmed and Semi-skimmed milk","1997M05",8.2
"1044","Skimmed Milk","1997M05",1
"1045","Semi-skimmed milk","1997M05",7.2
"1046","All Milk","1997M06",43.5
"1047","Whole Milk","1997M06",35.8
"1048","Skimmed and Semi-skimmed milk","1997M06",7.7
"1049","Skimmed Milk","1997M06",0.9
"1050","Semi-skimmed milk","1997M06",6.7
"1051","All Milk","1997M07",46.1
"1052","Whole Milk","1997M07",38.2
"1053","Skimmed and Semi-skimmed milk","1997M07",7.9
