year_month,cpi
1979M01,22.6
1979M02,22.6
1979M03,22.6
1979M04,23.3
1979M05,23.3
1979M06,23.3
1979M07,24.3
1979M08,24.3
1979M09,24.3
1979M10,25.2
1979M11,25.2
1979M12,25.2
1980M01,26.1
1980M02,26.1
1980M03,26.1
1980M04,28.1
1980M05,28.1
1980M06,28.1
1980M07,28.9
1980M08,28.9
1980M09,28.9
1980M10,29.8
1980M11,29.8
1980M12,29.8
1981M01,31.6
1981M02,31.6
1981M03,31.6
1981M04,32.8
1981M05,32.8
1981M06,32.8
1981M07,34.7
1981M08,34.7
1981M09,34.7
1981M10,36.7
1981M11,36.7
1981M12,36.7
1982M01,37.6
1982M02,37.6
1982M03,37.6
1982M04,39.7
1982M05,39.7
1982M06,39.7
1982M07,40.6
1982M08,40.6
1982M09,40.6
1982M10,41.2
1982M11,41.2
1982M12,41.2
1983M01,42.2
1983M02,42.2
1983M03,42.2
1983M04,43.4
1983M05,43.4
1983M06,43.4
1983M07,44.6
1983M08,44.6
1983M09,44.6
1983M10,45.5
1983M11,45.5
1983M12,45.5
1984M01,46.6
1984M02,46.6
1984M03,46.6
1984M04,47.6
1984M05,47.6
1984M06,47.6
1984M07,48.2
1984M08,48.2
1984M09,48.2
1984M10,48.5
1984M11,48.5
1984M12,48.5
1985M01,49.4
1985M02,49.4
1985M03,49.4
1985M04,50.1
1985M05,50.1
1985M06,50.1
1985M07,50.8
1985M08,50.8
1985M09,50.8
1985M10,50.9
1985M11,50.9
1985M12,50.9
1986M01,51.7
1986M02,51.7
1986M03,51.7
1986M04,52.3
1986M05,52.3
1986M06,52.3
1986M07,52.4
1986M08,52.4
1986M09,52.4
1986M10,52.5
1986M11,52.5
1986M12,52.5
1987M01,53.5
1987M02,53.5
1987M03,53.5
1987M04,53.8
1987M05,53.8
1987M06,53.8
1987M07,54.1
1987M08,54.1
1987M09,54.1
1987M10,54.1
1987M11,54.1
1987M12,54.1
1988M01,54.5
1988M02,54.5
1988M03,54.5
1988M04,54.8
1988M05,54.8
1988M06,54.8
1988M07,55.2
1988M08,55.2
1988M09,55.2
1988M10,55.6
1988M11,55.6
1988M12,55.6
1989M01,56.3
1989M02,56.3
1989M03,56.3
1989M04,56.9
1989M05,56.9
1989M06,56.9
1989M07,57.7
1989M08,57.7
1989M09,57.7
1989M10,58.2
1989M11,58.2
1989M12,58.2
1990M01,58.7
1990M02,58.7
1990M03,58.7
1990M04,58.9
1990M05,58.9
1990M06,58.9
1990M07,59.4
1990M08,59.4
1990M09,59.4
1990M10,59.7
1990M11,59.7
1990M12,59.7
1991M01,60.2
1991M02,60.2
1991M03,60.2
1991M04,60.7
1991M05,60.7
1991M06,60.7
1991M07,61.5
1991M08,61.5
1991M09,61.5
1991M10,61.9
1991M11,61.9
1991M12,61.9
1992M01,62.4
1992M02,62.4
1992M03,62.4
1992M04,62.9
1992M05,62.9
1992M06,62.9
1992M07,63.2
1992M08,63.2
1992M09,63.2
1992M10,63.3
1992M11,63.3
1992M12,63.3
1993M01,63.6
1993M02,63.6
1993M03,63.6
1993M04,63.5
1993M05,63.5
1993M06,63.5
1993M07,64.1
1993M08,64.1
1993M09,64.1
1993M10,64.3
1993M11,64.3
1993M12,64.3
1994M01,64.7
1994M02,64.7
1994M03,64.7
1994M04,65.2
1994M05,65.2
1994M06,65.2
1994M07,65.7
1994M08,65.7
1994M09,65.7
1994M10,65.8
1994M11,65.8
1994M12,65.8
1995M01,66.3
1995M02,66.3
1995M03,66.3
1995M04,67
1995M05,67
1995M06,67
1995M07,67.3
1995M08,67.3
1995M09,67.3
1995M10,67.4
1995M11,67.4
1995M12,67.4
1996M01,67.7
1996M02,67.7
1996M03,67.7
1996M04,68
1996M05,68
1996M06,68
1996M07,68.3
1996M08,68.3
1996M09,68.3
1996M10,68.7
1996M11,68.7
1996M12,68.7
1997M01,68.3
1997M02,68.7
1997M03,68.8
1997M04,68.8
1997M05,69
1997M06,69.2
1997M07,69.1
1997M08,69
1997M09,69.3
1997M10,69.5
1997M11,69.8
1997M12,70
1998M01,69.6
1998M02,69.9
1998M03,70.2
1998M04,70.6
1998M05,70.9
1998M06,71.2
1998M07,71
1998M08,71.2
1998M09,71.4
1998M10,71.5
1998M11,71.2
1998M12,71.1
1999M01,70.6
1999M02,71
1999M03,71.2
1999M04,71.5
1999M05,71.9
1999M06,72.1
1999M07,71.8
1999M08,72.3
1999M09,72.5
1999M10,72.5
1999M11,72.7
1999M12,73.5
2000M01,73.4
2000M02,74
2000M03,74.5
2000M04,75
2000M05,75.6
2000M06,76.1
2000M07,76.3
2000M08,76.7
2000M09,77
2000M10,77.5
2000M11,77.8
2000M12,77.9
2001M01,77.2
2001M02,77.9
2001M03,78.6
2001M04,79.2
2001M05,79.7
2001M06,80.1
2001M07,79.9
2001M08,80.2
2001M09,80.5
2001M10,80.8
2001M11,80.7
2001M12,81.1
2002M01,81
2002M02,81.5
2002M03,82.3
2002M04,83
2002M05,83.5
2002M06,83.6
2002M07,83.2
2002M08,83.7
2002M09,84.1
2002M10,84.5
2002M11,84.6
2002M12,85.2
2003M01,84.9
2003M02,85.7
2003M03,86.3
2003M04,86.6
2003M05,86.5
2003M06,86.5
2003M07,85.9
2003M08,86.4
2003M09,86.5
2003M10,86.5
2003M11,86.5
2003M12,86.9
2004M01,86.4
2004M02,87.1
2004M03,87.5
2004M04,87.8
2004M05,88
2004M06,88.4
2004M07,88.2
2004M08,88.7
2004M09,88.7
2004M10,88.9
2004M11,89
2004M12,89.1
2005M01,88.4
2005M02,89.1
2005M03,89.3
2005M04,89.8
2005M05,90
2005M06,90.3
2005M07,90.3
2005M08,90.7
2005M09,91.4
2005M10,91.5
2005M11,91.3
2005M12,91.3
2006M01,91
2006M02,92
2006M03,92.4
2006M04,93.2
2006M05,93.6
2006M06,93.8
2006M07,94.1
2006M08,94.8
2006M09,95.1
2006M10,95.1
2006M11,95.4
2006M12,95.8
2007M01,95.7
2007M02,96.5
2007M03,97.1
2007M04,97.9
2007M05,98.3
2007M06,98.5
2007M07,98.8
2007M08,99.2
2007M09,99.5
2007M10,99.7
2007M11,100.2
2007M12,100.3
2008M01,99.8
2008M02,101.1
2008M03,102
2008M04,102.1
2008M05,102.8
2008M06,103.4
2008M07,103.1
2008M08,103.6
2008M09,103.8
2008M10,103.6
2008M11,102.7
2008M12,101.4
2009M01,99.7
2009M02,99.3
2009M03,99.3
2009M04,98.6
2009M05,98.1
2009M06,97.8
2009M07,97.1
2009M08,97.4
2009M09,97.1
2009M10,96.8
2009M11,96.8
2009M12,96.3
2010M01,95.8
2010M02,96.2
2010M03,96.3
2010M04,96.5
2010M05,97
2010M06,96.9
2010M07,96.9
2010M08,97.6
2010M09,97.5
2010M10,97.6
2010M11,97.4
2010M12,97.6
2011M01,97.4
2011M02,98.3
2011M03,99.2
2011M04,99.5
2011M05,99.6
2011M06,99.5
2011M07,99.5
2011M08,99.7
2011M09,100
2011M10,100.3
2011M11,100.3
2011M12,100
2012M01,99.5
2012M02,100.4
2012M03,101.4
2012M04,101.4
2012M05,101.4
2012M06,101.2
2012M07,101.1
2012M08,101.7
2012M09,101.6
2012M10,101.5
2012M11,101.1
2012M12,101.2
2013M01,100.7
2013M02,101.5
2013M03,101.9
2013M04,101.9
2013M05,101.8
2013M06,101.9
2013M07,101.8
2013M08,101.9
2013M09,101.8
2013M10,101.6
2013M11,101.4
2013M12,101.4
2014M01,100.9
2014M02,101.4
2014M03,102.1
2014M04,102.2
2014M05,102.2
